expression,desc
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_actrtn6m * mdl177_earningsmomemtummodel_fc_numrevy1_alt / (fnd6_txs + 0.001)), subindustry), 10)",结合6个月实际收益率与分析师修正动量，并利用税收支出进行市值中性化后的财务过滤，捕捉盈余超预期信号。
"ts_decay_linear(group_neutralize(rank(abnormal_return_earnings_release / (mdl77_liquidityriskfactor_tobinq + 0.001)), subindustry), 12)",通过托宾Q值对财报发布后的异常收益进行标准化，剔除估值过高标的，提取纯净的盈余公告后漂移（PEAD）效应。
"ts_decay_linear(group_neutralize(rank(mdl177_liquidityriskfactor_nlvolcap_alt * fn_comprehensive_income_net_of_tax_a / (fnd6_optrfr + 0.001)), subindustry), 5)",将非线性容量波动风险与净利润率相结合，旨在子行业内部寻找财务基本面稳健且具备波动溢价的资产。
"ts_decay_linear(group_neutralize(rank(mdl177_2_industryrrelativevaluefactor_curindsp_ / (fnd6_newa2v1300_spceeps + 0.001)), subindustry), 15)",利用行业相对价值因子结合特殊EPS调整后的收益，在消除行业Beta后挖掘底层资产的相对估值差。
"ts_decay_linear(group_neutralize(rank(mdl177_2_pricemomentumfactor_cvpre90dp * fnd6_newa1v1300_ano), subindustry), 10)",结合价格动量的变异系数与分析师覆盖频次，识别在分析师关注度高且波动率受控下的趋势延续特征。
"ts_decay_linear(group_neutralize(rank(mdl77_2gdna_epschgetr + fnd6_ein / (fnd6_fatc + 0.001)), subindustry), 20)",通过EPS变动轨迹与权益投资收益比率的复合，利用固定资产周转率去中心化，捕捉高质量增长信号。
"ts_decay_linear(group_neutralize(rank(mdl77_2pricemomentumfactor_chg6malpha18m * fnd6_cipen / (fnd6_ivaco + 0.001)), subindustry), 10)",将长期价格Alpha与养老金负债调整项结合，并以库存价值变动进行风险对冲，过滤市值相关的虚假动量。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_fc_curindfwdep_ * fnd6_state), subindustry), 5)",行业前瞻依赖模型与财务州级状态因子的交互，旨在通过宏观财务分布修正行业内的个股偏好。
"ts_decay_linear(group_neutralize(rank(mdl77_liquidityriskfactor_tobinq / (mdl77_2gdna_epschgetr + 0.001)), subindustry), 10)",托宾Q值与EPS变化率的反向比值，识别在行业内部被市场低估且盈利增长稳健的去市值Alpha。
"ts_decay_linear(group_neutralize(rank(mdl177_earningsmomemtummodel_fc_numrevy1_alt * fn_comprehensive_income_net_of_tax_a / (fnd6_fatc + 0.001)), subindustry), 12)",分析师一致预期修正与综合收益的乘积模型，并由固定资产配置效率进行缩放，强化盈余弹性。
"ts_decay_linear(group_neutralize(rank(abnormal_return_earnings_release * fnd6_newa1v1300_ano / (fnd6_txs + 0.001)), subindustry), 8)",财报异常收益在分析师关注度下的杠杆效应，通过税务杠杆中性化，聚焦纯粹的非预期盈利表现。
"ts_decay_linear(group_neutralize(rank(mdl177_2_pricemomentumfactor_cvpre90dp / (fnd6_optrfr + 0.001)), subindustry), 10)",价格动量波动性对营业收入的穿透分析，在子行业内剥离由于公司规模扩张带来的Beta收益。
"ts_decay_linear(group_neutralize(rank(mdl177_2_industryrrelativevaluefactor_curindsp_ * fnd6_ivaco), subindustry), 5)",行业相对价值与存货计价变动的交互因子，反映在不同库存周期下的行业估值修复逻辑。
"ts_decay_linear(group_neutralize(rank(mdl177_liquidityriskfactor_nlvolcap_alt - fnd6_cipen / (fnd6_newa2v1300_spceeps + 0.001)), subindustry), 10)",非线性波动容量与养老金调整项的残差逻辑，旨在剥离财务隐性负债对流动性溢价的冲击。
"ts_decay_linear(group_neutralize(rank(mdl77_2pricemomentumfactor_chg6malpha18m / (mdl177_2_globaldevnorthamerica_v502_fc_curindfwdep_ + 0.001)), subindustry), 15)",对长期超额收益进行行业前瞻依赖度的敏感性剥离，获取不受行业周期Beta影响的纯净动量。
"ts_decay_linear(group_neutralize(rank(fnd6_ein * mdl177_earningsmomemtummodel_fc_numrevy1_alt / (fnd6_state + 0.001)), subindustry), 10)",权益投资收益与盈利预测修正的结合，通过区域财务特征进行截面中性化处理。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_actrtn6m - ts_mean(mdl177_2_globaldevnorthamerica_v502_actrtn6m, 20)), subindustry), 20)",6个月实际收益率的短期偏离度，在子行业内寻找动量反转或均值回归的超额机会。
"ts_decay_linear(group_neutralize(rank(fnd6_fatc * fnd6_newa2v1300_spceeps / (mdl77_liquidityriskfactor_tobinq + 0.001)), subindustry), 10)",利用固定资产周转率和特殊项EPS衡量经营效率，并对托宾Q值进行估值去偏。
"ts_decay_linear(group_neutralize(rank(mdl177_2_pricemomentumfactor_cvpre90dp * abnormal_return_earnings_release), subindustry), 5)",动量变异系数与盈余激增信号的非线性组合，捕捉子行业内部由财报驱动的波动率溢价。
"ts_decay_linear(group_neutralize(rank(fn_comprehensive_income_net_of_tax_a / (fnd6_txs + fnd6_ivaco + 0.001)), subindustry), 12)",纯财务结构的Alpha，通过税务和库存变动对综合净收益进行质量校准，去除规模相关的盈利虚增。
"ts_decay_linear(group_neutralize(rank(mdl77_historicalgrowthfactor_slope4qsales3y) - rank(fn_entity_common_stock_shares_out_q * fnd6_optprcby), subindustry), 10)",利用销售增长斜率因子，通过减去股本与期权价格乘积的秩来对冲市值规模效应，最后进行子行业中性化。
"ts_decay_linear(group_neutralize(rank(mdl177_valueanalystmodel_qva_earnval_alt / (rank(liabilities_curr) + 0.001)), subindustry), 12)",分析师价值模型因子，通过当前负债规模进行标准化处理，剔除大市值杠杆偏差，实现去市值化 Alpha。
"ts_decay_linear(group_neutralize(rank(mdl77_2garpanalystmodel_qgp_wratingchg) - rank(fnd6_rank), subindustry), 5)",结合 GARP 模型与分析师评级变更，通过减去综合基本面排名（fnd6_rank）来剥离头部市值公司的 Beta 贡献。
"ts_decay_linear(group_neutralize(rank(ttm_sales_to_enterprise_value / (rank(fn_entity_common_stock_shares_out_q) + 0.001)), subindustry), 10)",销售额与企业价值比率因子，利用总发行股本作为市值代理变量进行除法去噪，提取纯净估值信号。
"ts_decay_linear(group_neutralize(rank(mdl77_ooearningsmomemtummodel_fc_numrevy1) - rank(fnd6_newqv1300_spceepsp12), subindustry), 8)",盈利动量预测因子减去预期 EPS 的排名，旨在消除由市值驱动的分析师覆盖偏差。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_cfroi / (rank(fnd6_newqv1300_mibtq) + 0.001)), subindustry), 10)",现金流投资回报率（CFROI）因子，通过税前少数股东权益进行规模修正，剥离超大型企业的规模红利。
"ts_decay_linear(group_neutralize(rank(relative_valuation_rank_derivative) - rank(fnd6_newqv1300_ivltq), subindustry), 15)",相对估值排名的导数信号，通过减去长期负债排名来抵消因市值庞大导致的估值钝化。
"ts_decay_linear(group_neutralize(rank(mdl77_400_fcus / (rank(fnd2_q_flintasamt1expyfour) + 0.001)), subindustry), 10)",FCUS 专用模型因子，利用资产端财务变量作为市值调节因子进行缩放，获得去市值后的纯净模型残差。
"ts_decay_linear(group_neutralize(rank(mdl77_2fc_stdevfy1epsp) - rank(fnd6_newa1v1300_ano), subindustry), 7)",EPS 预测的标准差（波动率因子），减去分析师覆盖人数（ano）相关的规模影响，捕捉非市值相关的盈余不确定性。
"ts_decay_linear(group_neutralize(rank(mdl177_historicalgrowthfactor_salegstdev / (rank(fnd6_newqv1300_mibnq) + 0.001)), subindustry), 10)",销售增长波动的历史因子，通过非控制权益进行规模调整，中性化处理后保留纯粹的增长质量Alpha。
"ts_decay_linear(group_neutralize(rank(mdl77_historicalgrowthfactor_slope4qsales3y * Relative_valuation_rank_derivative) - rank(fn_entity_common_stock_shares_out_q), subindustry), 10)",复合销售增长斜率与估值导数，通过直接减去股本秩，在复杂逻辑组合中强制剥离市值Beta。
"ts_decay_linear(group_neutralize(rank(mdl177_valueanalystmodel_qva_earnval_alt) - rank(fnd6_rank + liabilities_curr), subindustry), 12)",综合价值模型信号，通过联合基本面排名与负债总额构建规模防御因子，实现深度的去市值化。
"ts_decay_linear(group_neutralize(rank(mdl77_2garpanalystmodel_qgp_wratingchg / (rank(fnd6_newqv1300_spceepsp12) + 0.001)), subindustry), 9)",评级调整后的 GARP 模型，利用预测 EPS 的秩作为规模过滤，强化小盘及中盘成长股的超额收益。
"ts_decay_linear(group_neutralize(rank(ttm_sales_to_enterprise_value) - rank(mdl177_historicalgrowthfactor_salegstdev), subindustry), 11)",利用估值因子减去增长波动率因子的秩，间接通过因子间的相互抵消实现对市值相关波动性的对冲。
"ts_decay_linear(group_neutralize(rank(mdl77_ooearningsmomemtummodel_fc_numrevy1 / (rank(fnd2_q_flintasamt1expyfour) + 0.001)), subindustry), 8)",盈利动量因子对资产规模因子的回归残差模拟，通过比率方式剔除市值对预测修正数量的放大作用。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_cfroi - mdl77_2fc_stdevfy1epsp), subindustry), 10)",现金流回报减去分析师预测标准差，通过两个异质因子的差值抵消共有的市值敞口，提取质量溢价。
"ts_decay_linear(group_neutralize(rank(mdl77_400_fcus) - rank(fnd6_newqv1300_ivltq * fnd6_optprcby), subindustry), 13)",基于 FCUS 模型的逻辑，通过剔除受市值影响严重的长期投资与资产价格乘积，保留去市值化的核心动力。
"ts_decay_linear(group_neutralize(rank(relative_valuation_rank_derivative / (rank(fnd6_newqv1300_mibtq) + 0.001)), subindustry), 6)",估值变动率因子，通过少数股东溢价规模进行去市值化，识别子行业内部被低估的纯净信号。
"ts_decay_linear(group_neutralize(rank(mdl77_historicalgrowthfactor_slope4qsales3y) - rank(liabilities_curr + fn_entity_common_stock_shares_out_q), subindustry), 14)",销售增长因子与规模代理变量（负债+股本）的秩剥离，旨在消除大市值公司增长陷阱对 Alpha 的干扰。
"ts_decay_linear(group_neutralize(rank(mdl177_valueanalystmodel_qva_earnval_alt * mdl77_ooearningsmomemtummodel_fc_numrevy1) / (rank(fnd6_rank) + 0.001), subindustry), 10)",高阶价值动量复合因子，通过总排名因子的秩进行去市值标准化，确保在 TOP3000 中具有风格一致性。
"group_neutralize(ts_decay_linear(-rank(rp_css_legal / (rp_nip_legal + 0.001)), 10), subindustry)",法律情绪得分与影响力预测的比值反转，捕捉过度定价的法律风险残差。
"group_neutralize(ts_decay_linear(-ts_zscore(rp_css_partner + rp_ess_partner, 20), 12), subindustry)",合伙伙伴相关情绪得分累加的20日Z-score反转，剥离长期合作关系情绪动量。
"group_neutralize(ts_decay_linear(-rank(news_mins_4_pct_up / (news_atr14 + 0.001)), 15), subindustry)",极高涨幅新闻频率与波动率的比值反转，寻找由情绪激发的过热特质点。
"group_neutralize(ts_decay_linear(-ts_rank(rp_ess_credit_ratings - returns_5, 10), 8), subindustry)",信用评级事件情绪减去5日收益率后的残差反转，剔除价格已反映的部分。
"group_neutralize(ts_decay_linear(-rank(rp_css_assets * news_eod_high), 10), subindustry)",资产情绪与收盘高位新闻强度乘积的反转，捕捉尾盘情绪诱导的日内过度反应。
"group_neutralize(ts_decay_linear(-ts_zscore(news_mins_1_pct_up / (news_mins_4_pct_up + 0.001), 20), 5), subindustry)",一般上涨新闻与极端上涨新闻比值的时序反转，识别情绪分布异常。
"group_neutralize(ts_decay_linear(-rank(rp_css_legal + rp_css_assets), 15), subindustry)",法律与资产双重情绪因子的加总反转，寻找被市场忽视的特质化回归机会。
"group_neutralize(ts_decay_linear(-rank(delta(rp_css_partner, 5)), 10), subindustry)",伙伴情绪5日变化的短期脉冲反转，针对消息流冲击后的均值回归。
"group_neutralize(ts_decay_linear(-ts_rank(news_eod_high / (news_atr14 + 0.001), 20), 12), subindustry)",单位波动率下的收盘新闻压力反转，通过ATR剥离市场波动基准。
"group_neutralize(ts_decay_linear(-rank(rp_nip_legal * rp_css_legal), 10), subindustry)",法律影响深度与情绪强度的交互项反转，锁定高影响力负面情绪的过激反应。
"group_neutralize(ts_decay_linear(-ts_zscore(rp_ess_credit_ratings / (rp_css_assets + 0.001), 20), 10), subindustry)",评级情绪相对资产基准情绪的偏差反转，剥离宏观资产情绪后的信用残差。
"group_neutralize(ts_decay_linear(-rank(news_mins_4_pct_up - news_mins_1_pct_up), 15), subindustry)",特大涨幅新闻频率超越普通涨幅新闻的差值反转，捕捉极端多头衰竭。
"group_neutralize(ts_decay_linear(-ts_rank(rp_css_partner / (news_eod_high + 0.001), 10), 8), subindustry)",合伙关系情绪与收盘压力比值的短期回归，排除日内趋势后的清洁情绪信号。
"group_neutralize(ts_decay_linear(-rank(rp_css_assets - ts_mean(rp_css_assets, 20)), 12), subindustry)",资产情绪对其20日均线的偏离度反转，典型的特质性情绪超买点识别。
"group_neutralize(ts_decay_linear(-ts_zscore(news_atr14 * rp_css_legal, 15), 10), subindustry)",法律情绪与资讯波动的加权指标反转，剥离波动性溢价后的情绪残差。
"group_neutralize(ts_decay_linear(-rank(rp_ess_partner + rp_ess_credit_ratings), 10), subindustry)",合作伙伴与信用评级事件情绪的综合反转，利用非公开经营性负荷做特质回归。
"group_neutralize(ts_decay_linear(-ts_rank(news_mins_1_pct_up * rp_nip_legal, 20), 12), subindustry)",普涨型新闻反应与法律预估影响力的交互反转，识别由于法律噪音导致的错杀。
"group_neutralize(ts_decay_linear(-rank(delta(news_eod_high, 3) / (news_atr14 + 0.001)), 10), subindustry)",收盘高位新闻强度的3日变化率反转，捕捉情绪动能衰减的拐点。
"group_neutralize(ts_decay_linear(-ts_zscore(rp_css_assets / (rp_css_legal + 0.001), 10), 10), subindustry)",资产与法律情绪比值的波动区间反转，利用内部情绪背离进行特质中性化交易。
"group_neutralize(ts_decay_linear(-rank(news_mins_4_pct_up * rp_ess_partner), 15), subindustry)",特大收益率分布与合作伙伴情绪强度的共同反转，剥离由伙伴新闻带动的非理性跳空。
"ts_decay_linear(group_neutralize(-rank(rp_css_inverstor), subindustry), 10)",投资者新闻情绪指标反转，捕捉情绪过度乐观后的特质性均值回归。
"ts_decay_linear(group_neutralize(-rank(delta(rp_css_credit, 5)), subindustry), 10)",信贷情绪近期变化量的反转，剥离行业共有风险后寻找信贷情绪过度反应的标的。
"ts_decay_linear(group_neutralize(-rank(news_mins_7_5_chg / (news_mov_vol + 0.001)), subindustry), 15)",经由新闻交易量调整后的日内大幅波动反转，剔除成交量虚假繁荣后的情绪透支。
"ts_decay_linear(group_neutralize(-rank(news_eod_high - ts_mean(news_eod_high, 20)), subindustry), 12)",收盘高价新闻频率相对于长周期的偏离度反转，寻找异常高位后的回撤机会。
"ts_decay_linear(group_neutralize(-rank(rp_nip_mna * news_pe_ratio), subindustry), 7)",高估值背景下的并购新闻情绪反转，博弈估值偏高标的名义利好兑现后的回落。
"ts_decay_linear(group_neutralize(-rank(ts_std_dev(rp_ess_legal, 10)), subindustry), 10)",法律相关新闻情绪波动率的反转，利用法律诉讼不确定性增加时的短期超卖反弹。
"ts_decay_linear(group_neutralize(-rank(news_mins_2_pct_dn / (news_dividend_yield + 0.001)), subindustry), 8)",高股息率背景下日内急跌新闻的反转，寻找防御性品种在情绪性抛售后的修复。
"ts_decay_linear(group_neutralize(-rank(correlation(rp_css_inverstor, news_mov_vol, 10)), subindustry), 6)",情绪与交易量相关性的残差反转，当情绪跟随放量达到极致后的动量衰竭。
"ts_decay_linear(group_neutralize(-rank(news_mins_7_5_chg - ts_mean(news_mins_7_5_chg, 5)), subindustry), 11)",短期大幅变动新闻指标相对于其均值的残差反转，捕捉剥离趋势后的异常冲击。
"ts_decay_linear(group_neutralize(-rank(rp_css_credit + rp_css_inverstor), subindustry), 14)",信贷与投资者综合情绪的联合反转，利用多维度情绪共振后的极值进行反向操作。
"ts_decay_linear(group_neutralize(-rank(rp_nip_mna - ts_mean(rp_nip_mna, 20)), subindustry), 10)",并购活动异常活跃度的残差反转，过滤行业并购潮背景下的单票过度投机。
"ts_decay_linear(group_neutralize(-rank(news_pe_ratio / (news_mov_vol + 0.001)), subindustry), 9)",新闻视角下的估值倍数与波动率比值的反转，捕捉低质量情绪推动的估值扩张。
"ts_decay_linear(group_neutralize(-rank(ts_max(news_eod_high, 5) - ts_min(news_eod_high, 5)), subindustry), 13)",极致高价新闻振幅的反转，基于波动率穷尽原则预测特质性情绪的衰减。
"ts_decay_linear(group_neutralize(-rank(rp_ess_legal * rp_css_credit), subindustry), 10)",法律风险与信贷情绪双重压制下的反转，挖掘利空消息在 subindustry 内被过度定价后的机会。
"ts_decay_linear(group_neutralize(-rank(delta(news_mins_2_pct_dn, 3)), subindustry), 5)",日内大幅下跌新闻频次的二阶变化率反转，捕捉恐慌盘加速释放后的短线拐点。
"ts_decay_linear(group_neutralize(-rank(news_dividend_yield - ts_mean(news_dividend_yield, 60)), subindustry), 20)",新闻中隐含股息率偏离度的长周期反转，寻找价值回归逻辑下的特质性溢价消除。
"ts_decay_linear(group_neutralize(-rank(ts_mean(news_mov_vol, 5) / (ts_mean(news_mov_vol, 20) + 0.001)), subindustry), 10)",新闻相关成交量短长周期强度的反转，识别由于新闻爆发导致的热度不可持续性。
"ts_decay_linear(group_neutralize(-rank(rp_css_inverstor - ts_mean(rp_css_inverstor, 10)), subindustry), 12)",投资者情绪相对于短期基准的残差反转，剔除行业Beta后的纯特质性情绪波动。
"ts_decay_linear(group_neutralize(-rank(news_mins_7_5_chg * rp_ess_legal), subindustry), 11)",法律负面冲击引发的剧烈价格变动反转，剥离法律事件后的情绪过度杀跌。
"ts_decay_linear(group_neutralize(-rank(ts_arg_max(rp_css_inverstor, 20)), subindustry), 10)",投资者情绪触及近期峰值后时间距离的反转，捕捉情绪高点过后逐渐冷却的估值溢价。
"ts_decay_linear(group_neutralize(-rank(news_ls - ts_mean(news_ls, 10)), subindustry), 10)",一般新闻情绪得分（news_ls）的10日均值回归，剥离长期情绪趋势，捕捉短期情绪过激后的反转。
"ts_decay_linear(group_neutralize(-rank(news_mins_10_chg / (news_ls + 0.001)), subindustry), 5)",衡量单位情绪得分激发的10分钟价格变动，识别由于情绪催化导致的过度价格反应并进行反转交易。
"ts_decay_linear(group_neutralize(-rank(rp_ess_partner * delta(news_mins_7_5_chg, 1)), subindustry), 5)",合伙人相关情绪（rp_ess_partner）与短期价格变动增量的乘积，捕捉合作伙伴利好/利空引发的特质性脉冲反转。
"ts_decay_linear(group_neutralize(-rank(rp_nip_product / (news_spy_close + 0.001)), subindustry), 10)",产品类新闻情绪（rp_nip_product）相对于市场大盘波动（news_spy_close）的偏离度，寻找剥离大盘后的产品特质性反转。
"ts_decay_linear(group_neutralize(-rank(news_ls / (news_pe_ratio + 0.001)), subindustry), 5)",利用市盈率（news_pe_ratio）对情绪得分进行估值修正，高估值股票对同等情绪得分的敏感度通常更高，容易产生回撤。
"ts_decay_linear(group_neutralize(-rank(rp_css_dividends - ts_mean(rp_css_dividends, 20)), subindustry), 10)",股息相关新闻（rp_css_dividends）的情绪残差，剔除季节性分红预期后的非预期情绪波动反转。
"ts_decay_linear(group_neutralize(-rank((news_pre_vwap / (news_prev_close + 0.001)) * news_ls), subindustry), 5)",新闻发布前相对于前收盘价的偏离与情绪分数的结合，捕捉由于盘前预期过度计价而导致的新闻落地反转。
"ts_decay_linear(group_neutralize(-rank(ts_stddev(news_ls, 10) * news_mins_10_chg), subindustry), 5)",结合情绪波动率与瞬时价格变动，捕捉在高情绪不确定性下的价格超速反转。
"ts_decay_linear(group_neutralize(-rank(news_ls / (ts_stddev(news_mins_10_chg, 20) + 0.001)), subindustry), 10)",用价格波动的标准差归一化情绪分数，寻找那些情绪剧烈变动但未被对应波动率覆盖的异常点。
"ts_decay_linear(group_neutralize(-rank(rp_nip_product + rp_ess_partner - ts_mean(news_ls, 5)), subindustry), 5)",结合产品及合伙人双重情绪维度并减去综合情绪基准，挖掘多维度信息共振后的特质性反转机会。
"ts_decay_linear(group_neutralize(-rank(delta(news_ls, 2) / (news_pe_ratio + 0.001)), subindustry), 10)",情绪得分的二日变动量经过估值因子缩放，捕捉情绪快速转折触发的动量衰竭。
"ts_decay_linear(group_neutralize(-rank(news_mins_7_5_chg - ts_mean(news_mins_7_5_chg, 10)), subindustry), 5)",纯粹的价格变动残差反转，剔除近期的平均变动水平，聚焦于短期非理性冲动。
"ts_decay_linear(group_neutralize(-rank(news_ls * (news_spy_close / (news_pre_vwap + 0.001))), subindustry), 10)",情绪得分与大盘相对于盘前均价走势的交互项，识别受大盘情绪裹挟而产生的个股超跌或超涨。
"ts_decay_linear(group_neutralize(-rank(rp_css_dividends / (rp_nip_product + 0.001)), subindustry), 5)",红利类情绪与产品类情绪的相对比例，捕捉不同类型新闻消息对股价驱动力的差异性反转。
"ts_decay_linear(group_neutralize(-rank(ts_rank(news_ls, 20) - ts_rank(news_mins_10_chg, 20)), subindustry), 10)",情绪排名与价格变动排名的离散度；当情绪排名远高于价动排名时，预示着基本面支撑不足的反转。
"ts_decay_linear(group_neutralize(-rank(news_ls * log(news_pe_ratio + 1.001)), subindustry), 5)",利用PE的对数形式强化对高成长/高估值股票新闻敏感度的捕捉，并进行反向头寸构建。
"ts_decay_linear(group_neutralize(-rank(delta(rp_ess_partner, 5) / (news_prev_close + 0.001)), subindustry), 10)",合作伙伴情绪的5日变化量经过价位归一化，寻找中线情绪反转点的早期信号。
"ts_decay_linear(group_neutralize(-rank(news_ls / (ts_mean(news_mins_7_5_chg, 5) + 0.001)), subindustry), 5)",情绪强度相对于近期平均波动幅度的比率，识别情绪溢出导致的价格不可持续性。
"ts_decay_linear(group_neutralize(-rank(rp_nip_product * abs(news_mins_10_chg)), subindustry), 10)",产品新闻情绪与波动绝对值的乘积，量化“利好出尽”或“利空出尽”后的波动率收缩反转。
"ts_decay_linear(group_neutralize(-rank(news_ls - ts_stddev(news_ls, 60)), subindustry), 5)",将当期情绪得分减去其长期波动标准差，旨在剔除情绪噪音，捕捉显著的极端情绪反转。
"ts_decay_linear(group_neutralize((implied_volatility_call_270 - implied_volatility_mean_30) / (implied_volatility_mean_30 + 0.001), subindustry), 10)",长期看涨期权隐含波动率与短期均值的背离，衡量长期看涨情绪的异常扩张。
"ts_decay_linear(group_neutralize((forward_price_720 - call_breakeven_270) / (call_breakeven_270 + 0.001), subindustry), 12)",远期价格相对于长期看涨盈亏平衡点的隐含空间，评估远期溢价。
"ts_decay_linear(group_neutralize((implied_volatility_mean_30 - historical_volatility_20) / (historical_volatility_20 + 0.001), subindustry), 5)",波动率风险溢价（VRP）：衡量未来30天隐含波动率相对于近20天历史波动率的溢价水平。
"ts_decay_linear(group_neutralize(rank(call_breakeven_270 / (call_breakeven_180 + 0.001)), subindustry), 10)",看涨期权盈亏平衡点的期限结构斜率，反映市场对远端股价上行压力的预期。
"ts_decay_linear(group_neutralize(pcr_vol_30 / (implied_volatility_mean_30 + 0.001), subindustry), 15)",成交量项下的看跌看涨比（PCR）经波动率调节后的信号，捕捉情绪过热后的反转。
"ts_decay_linear(group_neutralize(parkinson_volatility_10 / (historical_volatility_20 + 0.001), subindustry), 8)",帕金森波动率与标准历史波动率的比值，衡量日内价格发现效率对动量的确认。
"ts_decay_linear(group_neutralize((implied_volatility_call_270 - historical_volatility_90) / (historical_volatility_90 + 0.001), subindustry), 10)",长期隐含波动率与长期实现波动率的偏差，识别中长期趋势的波动增强信号。
"ts_decay_linear(group_neutralize(ts_delta(forward_price_720, 5) / (forward_price_720 + 0.001), subindustry), 10)",720日远期价格的短期变动率，利用衍生品市场的远端定价进行趋势跟踪。
"ts_decay_linear(group_neutralize(put_breakeven_10 / (call_breakeven_180 + 0.001), subindustry), 12)",极短端看跌防线与长端看涨目标的相对位置，衡量期权市场的偏度支撑。
"ts_decay_linear(group_neutralize(historical_volatility_20 / (historical_volatility_90 + 0.001), subindustry), 10)",波动率期限结构的动量，短期波动率相对于长期波动率的加速，常预示趋势启动。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_30) - rank(parkinson_volatility_10), subindustry), 10)",隐含波动率排名与日内高低价波动率排名的差值，捕捉市场预期与实际价格震荡的失衡。
"ts_decay_linear(group_neutralize(log(forward_price_720 / (put_breakeven_10 + 0.001)), subindustry), 20)",对数空间下的远期价格相对于下方保护位的距离，评估个股的下行风险敞口。
"ts_decay_linear(group_neutralize(ts_rank(pcr_vol_30, 20), subindustry), 5)",20日内PCR成交量比率的分位数排名，识别过度悲观后的买入机会。
"ts_decay_linear(group_neutralize(implied_volatility_call_270 / (historical_volatility_20 + 0.001), subindustry), 10)",反映市场对未来九个月上行异常波动的定价是否高于最近一个月的实际水平。
"ts_decay_linear(group_neutralize((call_breakeven_180 - put_breakeven_10) / (forward_price_720 + 0.001), subindustry), 15)",期权市场界定的预期波动区间宽度相对于远期价格的占比，识别低波动资产。
"ts_decay_linear(group_neutralize(ts_delta(implied_volatility_mean_30, 10) / (implied_volatility_mean_30 + 0.001), subindustry), 10)",隐含波动率的10日变化率，作为价格动量是否得到波动率确认的先行指标。
"ts_decay_linear(group_neutralize(historical_volatility_90 / (implied_volatility_call_270 + 0.001), subindustry), 10)",实现波动率对期权溢价的反向定价，识别隐含波动率被低估的套利机会。
"ts_decay_linear(group_neutralize(abs(forward_price_720 - call_breakeven_270) / (forward_price_720 + 0.001), subindustry), 10)",远期价格与长期看涨目标位的贴近程度，衡量趋势的延续性。
