expression,desc
"ts_decay_linear(group_neutralize((historical_volatility_20 - parkinson_volatility_10) / (parkinson_volatility_10 + 0.001), subindustry), 7)",收盘波动率与日内波动率之差，捕捉非交易时段信息冲击引发的趋势动量。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_30) + rank(historical_volatility_90), subindustry), 10)",多维度波动率综合排名，通过行业中性化筛选出具有潜在高波动特征的个股。
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_medianepsbfam, 5)) * rank(ebitda / (debt_lt + 0.001)), subindustry), 10)",中值预期EPS增长与低杠杆财务质量（EBITDA/债务）的正交组合
"ts_decay_linear(group_neutralize(rank(anl4_ptp_high / (fn_assets_fair_val_l1_a + 0.001)) - rank(est_netdebt / (ebitda + 0.001)), subindustry), 7)",最高目标价相对于公允价值的溢价，并扣除预期净债务风险
"ts_decay_linear(group_neutralize(rank(ts_delta(max_adjusted_funds_from_operations_guidance_2, 10)) * rank(fnd6_niadj / (fnd6_newqv1300_spcepd12 + 0.001)), subindustry), 12)",AFFO指引上调且净利润对资本开支覆盖率高的个股
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_netprofita_low, 5)) / (rank(fnd2_a_ptoacqbnsesg + 0.001) + 0.001), subindustry), 8)",分析师净利润底部预期的改善，结合较低的收购相关费用干扰
"ts_decay_linear(group_neutralize(rank(anl4_qfv4_cfps_low) * rank(fnd6_mrc5 / (fn_income_taxes_paid_a + 0.001)), subindustry), 15)",现金流预期稳健且具有高纳税效率/盈利质量的股票
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_tbve_ft, 20)) - rank(min_stock_option_expense_guidance_2 / (fnd6_niadj + 0.001)), subindustry), 10)",账面价值预期增长，同时期权开支对利润的潜在稀释较低
"ts_decay_linear(group_neutralize(rank(anl4_qfd1_az_hgih_spe) * rank(fnd6_newqv1300_cimiiq / (ebitda + 0.001)), subindustry), 5)",高一致性分析师预期结合现金流密集的财务质量指标
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_medianepsbfam, 3)) / (rank(fnd2_a_unrgtxbnfitxpenlintacd + 0.001) + 0.001), subindustry), 10)",EPS预期短期上调且未确认税务负债风险较小的标的
"ts_decay_linear(group_neutralize(rank(anl4_ptp_high / (net_debt_reported_value + 0.001)) * rank(fnd6_niadj / (fnd6_mrc5 + 0.001)), subindustry), 10)",高预期回报潜力与高质量净利润结构的交集
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_qfv4_cfps_low, 10)) * rank(ebitda / (fnd6_newqv1300_spcepd12 + 0.001)), subindustry), 9)",每股现金流预期下限的上调与强劲经营现金流覆盖
"ts_decay_linear(group_neutralize(rank(anl4_medianepsbfam / (est_netdebt + 0.001)) + rank(fnd6_niadj / (debt_lt + 0.001)), subindustry), 11)",分析师预期的EPS与负债比率，以及实际财务杠杆质量的双重筛选
"ts_decay_linear(group_neutralize(rank(ts_delta(max_adjusted_funds_from_operations_guidance_2, 5)) * rank(fn_income_taxes_paid_a / (ebitda + 0.001)), subindustry), 6)",AFFO指引乐观且实际税收支付反映盈利真实的个股
"ts_decay_linear(group_neutralize(rank(anl4_netprofita_low / (fn_assets_fair_val_l1_a + 0.001)) * rank(fnd6_newqv1300_cimiiq / (fnd6_niadj + 0.001)), subindustry), 10)",保守预期净利润对资产占比高，且核心收益现金流含量高
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_ptp_high, 10)) / (rank(min_stock_option_expense_guidance_2 + 0.001) + 0.001), subindustry), 8)",目标价上调且受股权管理开支稀释影响预期较小的个股
"ts_decay_linear(group_neutralize(rank(anl4_tbve_ft / (est_netdebt + 0.001)) * rank(fnd6_mrc5 / (debt_lt + 0.001)), subindustry), 10)",预期账面价值对负债的覆盖度和盈利能力对总债务的覆盖度
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_qfd1_az_hgih_spe, 5)) * rank(fnd6_niadj / (fn_assets_fair_val_l1_a + 0.001)), subindustry), 12)",分析师预期强度增加结合资产质量表现（净利润/公允价值资产）
"ts_decay_linear(group_neutralize(rank(anl4_medianepsbfam) - rank(fnd2_a_unrgtxbnfitxpenlintacd / (ebitda + 0.001)), subindustry), 7)",寻找预期高收益但排除了潜在税务合规风险（未确认税务利益）的个股
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_netprofita_low, 20)) * rank(ebitda / (net_debt_reported_value + 0.001)), subindustry), 14)",长期盈利预期底部的抬升与即期债务偿还能力的结合
"ts_decay_linear(group_neutralize(rank(max_adjusted_funds_from_operations_guidance_2 / (fnd6_niadj + 0.001)) * rank(fnd6_newqv1300_cimiiq), subindustry), 10)",AFFO指引强度与财务报表中的现金流质量指标正交
"ts_decay_linear(group_neutralize(rank(ts_delta(anl4_qfv4_cfps_low, 5)) - rank(fnd2_a_ptoacqbnsesg / (fn_income_taxes_paid_a + 0.001)), subindustry), 9)",保守现金流预期的改善并剔除重组/合并等非经常性科目干扰
"group_neutralize(ts_decay_linear(-(rp_ess_legal / (news_vol_stddev + 0.001)), 10), subindustry)",法律情绪极端值在波动率放大时的过度反应反转，剔除行业法律共性。
"group_neutralize(ts_decay_linear(-(rp_nip_revenue / (news_session_range + 0.001)), 5), subindustry)",营收情绪在日内价格震荡区间下的特质性修正，捕捉营收预期的短期虚假突破。
"group_neutralize(ts_decay_linear(-((news_pct_30min - news_indx_perf) / (news_vol_stddev + 0.001)), 8), subindustry)",剔除大盘基准收益后的30分钟新闻冲击残差反转，针对短期情绪脉冲过度反应。
"group_neutralize(ts_decay_linear(-(rp_css_credit * news_short_interest), 12), subindustry)",信用情绪与卖空利息共振引发的挤压效应，在信用改善/恶化后的残差回归。
"group_neutralize(ts_decay_linear(-((close - news_main_vwap) / (news_main_vwap + 0.001)), 6), subindustry)",价格相对新闻基准均价的偏离度回归，通常用于新闻发布后的流动性反扑。
"group_neutralize(ts_decay_linear(-(news_eps_actual / (news_vol_stddev + 0.001)), 15), subindustry)",EPS落实现实后的新闻热度退散，利用标准化后的业绩情绪进行特质性反转。
"group_neutralize(ts_decay_linear(-(rp_nip_revenue - news_eps_actual), 10), subindustry)",营收情绪与实际EPS披露之间的认知偏差修正，剥离业绩基本面后的纯情绪回撤。
"group_neutralize(ts_decay_linear(-(news_session_range / (news_vol_stddev + 0.001)) * rp_css_credit, 7), subindustry)",信用情绪在异常日内波动窗口下的反向策略，捕捉信用风险被过度定价后的反转。
"group_neutralize(ts_decay_linear(-(news_short_interest / (news_vol_stddev + 0.001)) * news_pct_30min, 10), subindustry)",利用空头利息权重对短期新闻收益进行残差化处理，挖掘机构博弈引发的过激反转。
"group_neutralize(ts_decay_linear(-(rp_ess_legal + rp_css_credit), 12), subindustry)",法律与信用负面舆情叠加后的流动性枯竭反弹，双重情绪维度的特质回归。
"group_neutralize(ts_decay_linear(-(news_main_vwap / (close + 0.001)), 5), subindustry)",新闻权重的成交均价与收盘价的背离，反映了新闻时段主要流动性提供者的反向意愿。
"group_neutralize(ts_decay_linear(-(news_vol_stddev * ts_delta(rp_nip_revenue, 1)), 8), subindustry)",营收情绪动态变化的加速度反转，利用情绪波动率作为权重放大特质剥离效果。
"group_neutralize(ts_decay_linear(-(news_indx_perf / (news_pct_30min + 0.001)), 5), subindustry)",新闻敏感度与大盘表现的错位反转，寻找不随大流的特质性新闻驱动逻辑。
"group_neutralize(ts_decay_linear(-(news_eps_actual * news_short_interest), 20), subindustry)",高空头环境下业绩情绪的剧烈反转，捕捉轧空或业绩预期落空后的残差调整。
"group_neutralize(ts_decay_linear(-(rp_ess_legal / (news_session_range + 0.001)), 10), subindustry)",法律诉讼预期在宽振幅日内的非理性杀跌回归，基于行业中性化的法律情绪剥离。
"group_neutralize(ts_decay_linear(-rank(news_vol_stddev) * rp_nip_revenue, 9), subindustry)",高波动率背景下的营收情绪失效反转，利用情绪不确定性对营收预测进行惩罚项回归。
"group_neutralize(ts_decay_linear(-(news_session_range - news_vol_stddev), 5), subindustry)",剥离常规波动后的纯新闻性振幅回归，反映了新闻驱动的非系统性波动消散。
"group_neutralize(ts_decay_linear(-(rp_css_credit / (news_main_vwap + 0.001)), 14), subindustry)",信用情绪相对于新闻成交价的敏感度分析，寻找长期信用溢价后的阶段性反向点。
"group_neutralize(ts_decay_linear(-(news_pct_30min * news_eps_actual), 7), subindustry)",30分钟超速收益与EPS增长情绪的错配反转，剥离短期动量后的特质性修复。
"group_neutralize(ts_decay_linear(-(rp_ess_legal * rp_nip_revenue / (news_short_interest + 0.001)), 11), subindustry)",多重负向情绪（法律+营收）在空头平仓压力下的反差表现，捕捉多空失衡后的残差回归。
"ts_decay_linear(group_neutralize(rank(mdl177_2_valueanalystmodel_qva_finstmt) - rank(cap), subindustry), 10)",基于分析师价值模型的去市值化纯净因子，提取剔除规模Beta后的超额估值信号。
"ts_decay_linear(group_neutralize(rank(inventory_change_avg_assets) / (rank(fnd6_cptnewqv1300_actq) + 0.001) - rank(cap), subindustry), 12)",库存变动占流动资产比率的去市值化修正，挖掘供应链效率层面的Alpha。
"ts_decay_linear(group_neutralize(rank(mdl77_oearningmomentumfactor_numrevy1) * rank(fnd6_mfmq_ibcomq) - rank(cap), subindustry), 8)",营收预测动能与净利润规模的交互因子，通过去市值化锁定成长动能的核心溢价。
"ts_decay_linear(group_neutralize(rank(mdl177_fangma_gpam_usa_fangma_gpam1) / (rank(fnd6_newqv1300_spcep12) + 0.001) - rank(cap), subindustry), 15)",总资产盈利能力（GPAM）与市销率比值的去市值组合，寻找高毛利且低估值的纯净信号。
"ts_decay_linear(group_neutralize(rank(mdl177_historicalgrowthfactor_chgocfp_alt) - rank(fnd6_txw) - rank(cap), subindustry), 5)",经营现金流历史增长率剔除预扣税项影响后的去市值信号，捕捉真实的内生性增长。
"ts_decay_linear(group_neutralize(rank(mdl77_2pricemomemtummodel_voldiff_pc) / (rank(fnd6_optca) + 0.001) - rank(cap), subindustry), 20)",价格动能成交量差异与经营活动调整项的组合，去市值化后识别流动性驱动的非理性偏离。
"ts_decay_linear(group_neutralize(rank(mdl177_pricemomentumfactor_actrtn12m_alt) - rank(fnd6_newqv1300_prcepsq) - rank(cap), subindustry), 10)",12个月价格动能相对于市盈率的残差信号，在中性化市值后寻找趋势延续的确定性。
"ts_decay_linear(group_neutralize(rank(mdl77_ohistoricalgrowthfactor_pfcoy3ghc) * rank(fnd6_txdc) - rank(cap), subindustry), 12)",历史资本性支出增长与递延所得税的交互因子，去市值化剥离税务杠杆带来的Beta。
"ts_decay_linear(group_neutralize(rank(mdl77_2gdna_curindfcfp_) / (rank(fn_comp_non_opt_forfeited_q) + 0.001) - rank(cap), subindustry), 6)",折旧摊销后的净自由现金流与非经营性损失比值，通过市值中性化捕捉企业财务稳健性Alpha。
"ts_decay_linear(group_neutralize(rank(mdl177_2_sensitivityfactor400_chg12msip) - rank(fnd6_newa2v1300_tstk) - rank(cap), subindustry), 10)",12个月价格敏感度因子结合库存股票变化，去市值化识别大股东潜在行为背后的Alpha信号。
"ts_decay_linear(group_neutralize(rank(mdl177_2_valueanalystmodel_qva_finstmt) + rank(mdl77_oearningmomentumfactor_numrevy1) - 2 * rank(cap), subindustry), 15)",估值模型与预测动能的双重去市值叠加，在小市值效应之外寻找高阶量化均衡点。
"ts_decay_linear(group_neutralize(rank(inventory_change_avg_assets) * rank(fnd6_cptnewqv1300_dpq) - rank(cap), subindustry), 9)",库存效率与折旧政策的协同信号，市值中性化后反映重资产行业的盈利质量改善。
"ts_decay_linear(group_neutralize(rank(mdl177_historicalgrowthfactor_chgocfp_alt) / (rank(fnd6_newa2v1300_tstk) + 0.001) - rank(cap), subindustry), 7)",经营现金流增长对库存股回购的敏感度，去市值化后捕捉公司管理层对现金分配的信心。
"ts_decay_linear(group_neutralize(rank(mdl177_fangma_gpam_usa_fangma_gpam1) - rank(fnd6_cptnewqv1300_actq) / (rank(cap) + 0.001), subindustry), 10)",利用单位市值流动资产对GPAM模型进行修正，剥离因资产规模带来的估值幻觉。
"ts_decay_linear(group_neutralize(rank(mdl177_pricemomentumfactor_actrtn12m_alt) * rank(fnd6_txw) - rank(cap), subindustry), 11)",动能因子与税收支出交叉验证形成的Alpha，去市值化以排查税务成本对动能持续性的反向抑制。
"ts_decay_linear(group_neutralize(rank(mdl77_2gdna_curindfcfp_) - rank(fnd6_newqv1300_prcepsq) - rank(cap), subindustry), 14)",自由现金流回报率相对于市盈率的去市值偏离度，挖掘现金收益高于盈利预期的标的。
"ts_decay_linear(group_neutralize(rank(mdl177_2_sensitivityfactor400_chg12msip) / (rank(fnd6_optca) + 0.001) - rank(cap), subindustry), 8)",市场敏感度与经营性资产调整项的去市值化剥离，锁定市场反应过度的纯净获利机会。
"ts_decay_linear(group_neutralize(rank(mdl77_ohistoricalgrowthfactor_pfcoy3ghc) - rank(fnd6_mfmq_ibcomq) / (rank(cap) + 0.001), subindustry), 13)",基于市值权重的归母净利对历史增长因子的去市值化压制实验，提取跨周期增长Alpha。
"ts_decay_linear(group_neutralize(rank(mdl77_2pricemomemtummodel_voldiff_pc) + rank(fn_comp_non_opt_forfeited_q) - rank(cap), subindustry), 10)",价量动能差异结合非经常性损益项目的去市值模型，识别垃圾股反弹噪音外的真实趋势。
"ts_decay_linear(group_neutralize(rank(mdl177_2_valueanalystmodel_qva_finstmt) / (rank(fnd6_cptnewqv1300_dpq) + 0.001) - rank(cap), subindustry), 18)",价值模型对折旧成本比率的去市值化再平衡，在中性化行业规模后定位被低估的硬资产公司。
"ts_decay_linear(group_neutralize(mdl77_mpnghc / (fnd6_newqv1300_capsq + 0.001), subindustry), 10)",利用市值平方项作为缩放因子，对mpnghc模型进行市值平减，并通过子行业中性化消除行业暴露。
"ts_decay_linear(group_neutralize(mdl77_ovalueanalystmodel_qva_balsht - rank(liabilities / (fnd6_newqv1300_capsq + 0.001)), subindustry), 5)",通过资产负债表模型扣除杠杆市值比的排位干扰，提取去市值化的纯净价值信号。
"ts_decay_linear(group_neutralize(mdl177_fa_fc_fwdep / (fnd6_beta + 0.001), subindustry), 12)",将远期盈利预测模型相对于市场贝塔进行风险调整，在子行业层面剥离系统性因子。
"ts_decay_linear(group_neutralize(mdl77_htwrgspe_amq - rank(fnd6_newqv1300_reunaq), subindustry), 8)",从HTW增长模型中剔除留存收益因子的影响，通过行业中性化聚焦高增长质量Alpha。
"ts_decay_linear(group_neutralize(mdl177_2_earningsqualityfactor_udep / (fnd6_newqv1300_lqpl1q + 0.001), subindustry), 15)",对盈利质量因子进行流动性/规模调整，利用线性衰减增强信号在不同周期的稳定性。
"ts_decay_linear(group_neutralize(mdl177_2_pricemomentumfactor_chgalpha36m - fn_effect_of_exchange_rate_on_cash_and_equiv_q, subindustry), 20)",在价格动量因子中扣除汇率变动带来的现金流伪增长，实现去宏观噪音后的行业中性套利。
"ts_decay_linear(group_neutralize(stddev_fy1_eps_estimates_to_price / (fnd6_newqv1300_dpactq + 0.001), subindustry), 10)",将盈利预测波动率与折旧摊销指标复合，通过剥离会计估计偏差获取纯净期望Alpha。
"ts_decay_linear(group_neutralize(mdl177_2_earningmomentumfactor400_hlep * latin_america_sales_exposure, subindustry), 7)",将盈利动量与特定地区销售暴露度结合，在子行业内挖掘被市值信号掩盖的地域增长套利。
"ts_decay_linear(group_neutralize(financial_statement_value_score - rank(fn_oth_comp_grants_weighted_avg_grant_date_fair_value_a), subindustry), 10)",利用报表价值分剔除员工股权激励估值压力，构建去市值化的内部激励对冲Alpha。
"ts_decay_linear(group_neutralize(mdl77_mpnghc / (fn_comp_non_opt_forfeited_a + 0.001), subindustry), 5)",基于期权没收数据对MPNGHC模型进行非正常人力资本变动调整，强化纯净Alpha收益。
"ts_decay_linear(group_neutralize(mdl77_ovalueanalystmodel_qva_balsht * fnd6_mrc5, subindustry), 10)",结合边际成本分量与价值模型，在子行业内部通过交叉验证剔除低效率规模因子。
"ts_decay_linear(group_neutralize(mdl177_fa_fc_fwdep / (liabilities + 0.001), subindustry), 10)",通过负债总额平减远期财务预测模型，消除大型企业规模溢价对预测信号的干扰。
"ts_decay_linear(group_neutralize(mdl77_htwrgspe_amq - ts_rank(fnd6_beta, 20), subindustry), 10)",扣除过去20日贝塔值的滚动排位，使得HTW模型在行业性波动中保持市值中性。
"ts_decay_linear(group_neutralize(mdl177_2_earningsqualityfactor_udep * fn_effect_of_exchange_rate_on_cash_and_equiv_q, subindustry), 10)",将收益质量因子与现金流汇率效应结合，提取不受资本规模影响的跨国业务纯净质量信号。
"ts_decay_linear(group_neutralize(mdl177_2_pricemomentumfactor_chgalpha36m / (fnd6_newqv1300_reunaq + 0.001), subindustry), 10)",利用留存收益作为分母平减价格动量，挖掘非资本积累驱动的超额价格增长空间。
"ts_decay_linear(group_neutralize(stddev_fy1_eps_estimates_to_price - rank(fnd6_newqv1300_lqpl1q), subindustry), 10)",从盈利预测一致性指标中扣除财务杠杆/规模项的影子效应，通过行业中性化捕捉偏差Alpha。
"ts_decay_linear(group_neutralize(mdl177_2_earningmomentumfactor400_hlep / (fnd6_newqv1300_dpactq + 0.001), subindustry), 10)",将盈利动量与资本密集度进行标准化处理，剥离由重资产规模带来的伪增长因子。
"ts_decay_linear(group_neutralize(latin_america_sales_exposure * financial_statement_value_score, subindustry), 10)",基于报表价值分数对特定市场销售暴露进行加权，构建横截面去规模化的地区溢价信号。
"ts_decay_linear(group_neutralize(mdl77_mpnghc - rank(fn_oth_comp_grants_weighted_avg_grant_date_fair_value_a), subindustry), 10)",在MPNGHC模型中扣除股权授予公平价值的相对规模排名，获取核心经营层面的纯净超额利润。
"ts_decay_linear(group_neutralize(mdl77_ovalueanalystmodel_qva_balsht / (fnd6_beta + 0.001), subindustry), 10)",利用贝塔值对价值分析模型进行风险去偏，在子行业层面实现完全的市值与风险中性化。
"ts_decay_linear(group_neutralize(-1 * (rank(rp_ess_business) - rank(news_mins_20_chg)), subindustry), 10)",剥离20分钟价格动量后的商业环境情绪残差反转：当商业情绪显著高于价格反应时，捕捉其过热后的预期修正。
"ts_decay_linear(group_neutralize(-1 * (rank(rp_ess_ratings) - rank(news_mins_4_chg)), subindustry), 5)",评级情绪剥离短线动量后的特质性反转：剔除4分钟内高频动量干扰，识别机构评级变动引发的过度反应。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_price / (news_max_dn_ret + 0.001)), subindustry), 12)",价格相关新闻影响强度与最大回撤比值的反转：衡量新闻导致的价格波动性价比，针对异常波动的特质性回归。
"ts_decay_linear(group_neutralize(-1 * (rp_css_insider - ts_mean(rp_css_insider, 20)), subindustry), 4)",内部人情绪短期偏差反转：内部人情绪指标偏离20日均值时，通常存在过度解读，利用其进行残差回归。
"ts_decay_linear(group_neutralize(-1 * (rank(rp_nip_earnings) * rank(news_mins_20_chg)), subindustry), 8)",盈余新闻影响与趋势极值的协同反转：当盈余情绪与价格动量同时达到峰值时，剥离共线性后的反转效应。
"ts_decay_linear(group_neutralize(-1 * (rp_css_labor - ts_mean(rp_css_labor, 10)), subindustry), 15)",劳工相关新闻情绪的短期振荡反转：劳工情绪属于慢变量，短期剧烈波动往往伴随流动性溢价的收回。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_mna / (rp_ess_business + 0.001)), subindustry), 10)",并购消息对商业环境情绪的残差偏离反转：过滤大背景后的并购新闻异动，捕捉并购炒作的泡沫消散。
"ts_decay_linear(group_neutralize(-1 * (rank(news_max_dn_ret) - rank(rp_nip_price)), subindustry), 6)",新闻驱动的最大向下回撤与价格影响力的残差反转：当新闻引发的回撤远超其综合报价影响力时的过度反应修复。
"ts_decay_linear(group_neutralize(-1 * ts_delta(rp_ess_ratings, 3), subindustry), 10)",评级情绪三日变动之动反转：针对评级调整消息的即时冲动进行剥离，寻找过度反应后的均值回归。
"ts_decay_linear(group_neutralize(-1 * (rp_css_insider / (rp_css_labor + 0.001)), subindustry), 7)",内部人情绪相对劳工环境的特质波动反转：剥离宏观劳动力因素后的管理层信心残差，捕捉其对自身估值的认知偏差。
"ts_decay_linear(group_neutralize(-1 * rank(news_mins_20_chg - news_mins_4_chg), subindustry), 9)",新闻动量加速度残差反转：20分钟与4分钟动量差值代表了情绪的衰减或爆发，捕捉其非理性持续后的反抽。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_earnings - ts_mean(rp_nip_earnings, 5)), subindustry), 12)",盈余公告情绪的5日残差反转：盈余发布后的市场情绪若超出近5日均值过多，往往存在特质性溢价的回归需求。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_business * news_max_dn_ret), subindustry), 8)",商业环境情绪与下行极端收益的交互反转：在负面波动放大时，根据商业情绪残差判断跌势是否过激。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_ratings / (rp_nip_price + 0.001)), subindustry), 11)",评级情绪单位价格变动损耗反转：分析评级对价格的支撑效率，反映出被市场过度定价的评级新闻残差。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_mna - ts_mean(rp_nip_mna, 20)), subindustry), 14)",并购新闻频率与情绪的20日残差反转：长期静默后的并购新闻频发极易导致股价超涨，利用残差法做空溢价。
"ts_decay_linear(group_neutralize(-1 * rank(rp_css_labor + rp_ess_business), subindustry), 5)",劳工与商业综合情绪的短期过热反转：双重情绪叠加下的动量往往不可持续，捕捉其行业中性化后的反向机会。
"ts_decay_linear(group_neutralize(-1 * ts_rank(rp_nip_price, 10), subindustry), 10)",新闻价格影响力的时间序列秩反转：当新闻对价格的影响力处于10日高位时，往往预示着情绪动能耗尽。
"ts_decay_linear(group_neutralize(-1 * (rp_css_insider * news_mins_4_chg), subindustry), 7)",内部人情绪与超短线动量的内生性反转：利用内部人静态仓位情绪剥离极短线动量，识别特质性反转趋势。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_business / (rp_nip_earnings + 0.001)), subindustry), 13)",商业环境感应度对盈余质量的残差反转：当商业情绪脱离盈余基本面支持时，捕捉这种非稳态的回归。
"ts_decay_linear(group_neutralize(-1 * (news_max_dn_ret / (news_mins_20_chg + 0.001)), subindustry), 9)",最大下行冲击与20分钟变动比例的残差反转：刻画极端恐慌后的韧性缺失，捕捉该指标极端分位数后的反弹逻辑。
"group_neutralize(ts_decay_linear(-rank(rp_ess_equity * news_mins_5_chg), 10), subindustry)",股票综合情绪与5分钟情绪变化乘积的短期反转，捕捉过度反应后的均值回归。
"group_neutralize(ts_decay_linear(-rank(rp_css_product / (news_range_stddev + 0.001)), 5), subindustry)",利用产品相关新闻情绪除以新闻波动率，剥离背景噪音后对高信噪比特质性情绪进行反转。
"group_neutralize(ts_decay_linear(-rank(news_mins_20_chg * rp_ess_ratings), 8), subindustry)",分析师评级情绪与20分钟新闻倾向的复合因子，在评级驱动的短期冲高中寻找反转机会。
"group_neutralize(ts_decay_linear(rank(news_mins_3_chg) - rank(news_mins_20_chg), 3), subindustry)",利用极短期（3分钟）与短中期（20分钟）情绪变化的残差，在动量衰竭点进行反向布局。
"group_neutralize(ts_decay_linear(-rank(rp_nip_partner * news_open), 6), subindustry)",合作伙伴新闻情绪在开盘波段的过度计价反转，针对开盘情绪冲击进行多空对冲。
"group_neutralize(ts_decay_linear(-rank(rp_css_dividends / (news_mins_20_chg + 0.001)), 12), subindustry)",股息相关情绪相对于整体情绪变化的特质表现，剔除市场情绪动量后的纯净分红预期反转。
"group_neutralize(ts_decay_linear(-rank(ts_delta(rp_ess_equity, 5)), 5), subindustry)",股票综合情绪5日变动量的反转，通过t-5日的增量情绪变化捕捉市场情绪过热的拐点。
"group_neutralize(ts_decay_linear(-rank(rp_ess_equity * log(news_range_stddev + 0.001)), 7), subindustry)",结合新闻波动范围的对数加权情绪因子，在高波动触发的恐慌或兴奋中执行情绪反转。
"group_neutralize(ts_decay_linear(rank(ts_mean(rp_ess_ratings, 20)) - rank(rp_ess_ratings), 15), subindustry)",分析师评级情绪偏离长期（20日）均值的残差反转，通过剥离估值中轴实现特质性回归。
"group_neutralize(ts_decay_linear(-rank(news_open * news_mins_5_chg), 4), subindustry)",开盘情绪与5分钟急速情绪变化的交互因子，捕捉早盘非理性波动后的价格修复。
"group_neutralize(ts_decay_linear(-rank(rp_nip_partner / (news_range_stddev + 0.001)), 9), subindustry)",伙伴关系新闻的风险调整后情绪反转，在低波动环境下的情绪突变具有更强的反转信号。
"group_neutralize(ts_decay_linear(-rank(rp_css_product - ts_mean(rp_css_product, 10)), 5), subindustry)",产品新闻情绪的10日去均值残差，聚焦于突发性产品利好/利空后的情绪修正。
"group_neutralize(ts_decay_linear(-rank(news_mins_3_chg / (news_mins_20_chg + 0.001)), 3), subindustry)",超短期情绪变动率与短中期情绪背景的背离因子，识别情绪拉升中的假突破并反向操作。
"group_neutralize(ts_decay_linear(-rank(rp_ess_equity * rp_ess_ratings), 10), subindustry)",综合情绪与评级情绪的共振反转，在多重情绪指标同时达到极端值时利用高胜率反转逻辑。
"group_neutralize(ts_decay_linear(-rank(ts_std(news_mins_5_chg, 10) * rp_ess_equity), 6), subindustry)",情绪变动波动率加权的综合情绪反转，过滤掉缺乏成交量支撑的虚假情绪波动。
"group_neutralize(ts_decay_linear(-rank(rp_css_dividends + rp_nip_partner), 8), subindustry)",多源特质新闻情绪（分红+伙伴）的加总反转，捕捉公司治理与业务拓展维度的情绪过热。
"group_neutralize(ts_decay_linear(rank(ts_min(news_mins_20_chg, 5)) - rank(news_mins_20_chg), 10), subindustry)",20分钟情绪变化处于5日低位的负向反转（即情绪触底回升逻辑），寻找情绪枯竭点的转折。
