expression,desc
"group_neutralize(ts_decay_linear(-rank(news_open / (rp_ess_equity + 0.001)), 7), subindustry)",开盘信号相对基本面情绪的偏离度反转，利用早盘竞价产生的非对称信息差进行获利。
"group_neutralize(ts_decay_linear(-rank(ts_delta(rp_css_product, 3) * news_range_stddev), 5), subindustry)",产品新闻情绪3日变化量乘以波动标准差，增强对高影响力且突发性新闻的情绪反转力度。
"group_neutralize(ts_decay_linear(-rank(rp_ess_equity - ts_mean(rp_ess_equity, 5)), 5), subindustry)",5日综合情绪的时间序列残差反转，通过剥离短期情绪倾向获取纯粹的特质波动收益。
"ts_decay_linear(group_neutralize(-rank(news_mins_20_pct_up / (news_mins_20_pct_dn + 0.001)), subindustry), 10)",新闻情绪极值反转：高频利好新闻占比过高时进行反向操作，剥离行业共有趋势。
"ts_decay_linear(group_neutralize(rank(news_mins_2_pct_dn) - rank(news_mins_3_pct_up), subindustry), 8)",短时消息面残差：对比极短时间内多空消息的密度差，捕捉过度反应后的特质性反转。
"ts_decay_linear(group_neutralize(-rank(rp_css_price * news_session_range_pct), subindustry), 12)",价格类新闻集中度反转：结合RavenPack价格情感得分与新闻覆盖范围，寻找定价过度后的回归机会。
"ts_decay_linear(group_neutralize(rank(rp_css_legal / (rp_css_society + 0.001)), subindustry), 5)",社会法律风险因子：当法律负面情感相对于社会情感异常时，利用情绪溢价进行反转套利。
"ts_decay_linear(group_neutralize(-rank(ts_delta(news_mins_10_pct_up, 3)), subindustry), 10)",消息增量衰减：过去3天利好消息覆盖率增长最快的股票倾向于短期超买，执行反向策略。
"ts_decay_linear(group_neutralize(rank(rp_css_ratings) - rank(news_mins_20_pct_up), subindustry), 15)",分析师评级残差：剥离普通新闻热度后的分析师评级情感，寻找被大众忽视的特质反转点。
"ts_decay_linear(group_neutralize(-rank(news_session_range_pct / (news_mins_2_pct_dn + 0.001)), subindustry), 6)",消息广度风险：当利空消息频发且全天候覆盖时，在行业内寻找被恐慌抛售后的反弹机会。
"ts_decay_linear(group_neutralize(rank(ts_delta(rp_css_society, 5)), subindustry), 10)",社会责任感残差：社会面情感得分短期大幅波动后，由于非机构资金离场导致的流动性回归。
"ts_decay_linear(group_neutralize(-rank(news_mins_20_pct_up + news_mins_10_pct_up), subindustry), 8)",极致利好衰竭：多周期利好新闻占比叠加达到极值，预示利好出尽的价格回落。
"ts_decay_linear(group_neutralize(rank(news_mins_20_pct_dn / (rp_css_price + 0.001)), subindustry), 12)",悲观情绪错位：价格情感尚未修复但利空频次已达极限时的残差反转。
"ts_decay_linear(group_neutralize(-rank(rp_css_ratings * news_session_range_pct), subindustry), 10)",评级情感覆盖：当高评级情感在全天交易时段内高度曝光，通常伴随短线情绪博弈顶部。
"ts_decay_linear(group_neutralize(rank(ts_delta(news_mins_2_pct_dn, 1)), subindustry), 5)",隔夜利空冲击反转：针对昨日短时重大利空消息造成的缺口，利用行业中性化捕捉修复。
"ts_decay_linear(group_neutralize(-rank(rp_css_legal - rp_css_price), subindustry), 20)",法律与价格背离：法律风险新闻得分高（负向）而价格情感平淡，利用这种信息差进行剥离操作。
"ts_decay_linear(group_neutralize(rank(news_mins_3_pct_up) / (rank(news_mins_20_pct_up) + 0.001), subindustry), 8)",消息频率加速因子：短期新闻密度远超长期平均值，捕捉利好频率异常激增后的均值回归。
"ts_decay_linear(group_neutralize(-rank(rp_css_society + rp_css_ratings), subindustry), 10)",综合软性特征反转：结合社会与分析师双重情感得分，对行业内过度乐观的情绪进行对冲。
"ts_decay_linear(group_neutralize(rank(ts_delta(news_session_range_pct, 2)), subindustry), 12)",曝光度变化残差：新闻覆盖范围突然缩小的股票往往被市场过度冷落，存在潜在的价格回暖。
"ts_decay_linear(group_neutralize(-rank(news_mins_20_pct_up - news_mins_20_pct_dn), subindustry), 10)",全量新闻净值反转：利用长周期多空消息占比之差测算情绪极端度，执行反向头寸。
"ts_decay_linear(group_neutralize(rank(rp_css_price / (news_session_range_pct + 0.001)), subindustry), 15)",价格情感密度：在低曝光度下出现的价格正面情感，预示着基本面被低估后的价值回归。
"ts_decay_linear(group_neutralize(-rank(ts_delta(rp_css_legal, 10)), subindustry), 5)",长效法制风险修正：法律风险情感长期改善后的获利了结反转。
"ts_decay_linear(group_neutralize(rank(news_mins_20_pct_dn) - rank(rp_css_society), subindustry), 10)",社会情感补偿：利空消息频率高但社会公信力得分尚可，捕捉恐慌带来的错误定价。
"ts_decay_linear(group_neutralize(rank(mdl77_historicalgrowthfactor_pfcfghc) - rank(fnd6_txdbca / (cap + 0.001)), subindustry), 12)",通过递增现金流增长因子减去单位市值的递延所得税资产，剥离市值规模对增长质量的干扰。
"ts_decay_linear(group_neutralize(rank(mdl177_2_historicalgrowthfactor_rsqr4qsales3y) * rank(fnd2_ebitdm / (fn_op_lease_min_pay_due_a + 0.001)), subindustry), 8)",结合销售增长稳定性与经营租赁覆盖后的息税折旧摊销利润，优化去除重资产杠杆后的收益能力。
"ts_decay_linear(group_neutralize(rank(mdl177_2_sensitivityfactor400_rev3my1std) - rank(fn_repurchased_shares_value_q / (cap + 0.001)), subindustry), 15)",利用营收敏感度因子对冲回购强度，剔除大盘股回购支撑股价的虚假信号。
"ts_decay_linear(group_neutralize(rank(mdl77_2globaldevnorthamericasensitivityfactor_oilprice) / (rank(fnd2_dfctrbplancstrg) + 0.001), subindustry), 10)",将油价敏感度与确定性福利计划成本进行风险对冲，过滤能源与劳动力市场Beta。
"ts_decay_linear(group_neutralize(rank(mdl77_2gdna_beta) * rank(fnd6_newa1v1300_ibadj / (fnd6_txdbca + 0.001)), subindustry), 20)",利用市值Beta调整后的净利润与税收比率，捕捉被市场价格错估的纯净盈利阿尔法。
"ts_decay_linear(group_neutralize(rank(mdl177_2_put_put_cashburn) - rank(fnd6_newqv1300_xoptdq / (cap + 0.001)), subindustry), 5)",对比现金消耗率与单位市值的期权补偿费用，剔除高管激励过度的虚胖市值公司。
"ts_decay_linear(group_neutralize(rank(mdl77_pricemomentumfactor_w57w03_rp) - rank(fn_liab_fair_val_l1_q / (fnd2_ebitdm + 0.001)), subindustry), 10)",在价格动量中扣除公允价值负债压力，获得不依赖行业β的纯净动量收益。
"ts_decay_linear(group_neutralize(rank(mdl77_2historicalgrowthfactor_chg3yepsp) / (rank(fn_comp_not_rec_q) + 0.001), subindustry), 12)",将EPS增长潜力与未确认报酬进行反向加权，剥离报酬体系对成长因子的市值溢价。
"ts_decay_linear(group_neutralize(rank(mdl77_ohistoricalgrowthfactor_pfcoy3ghc) - rank(fnd2_dbplanepdfbnfpythree / (cap + 0.001)), subindustry), 15)",纯净增长效率剔除养老金福利支出对长期市值的潜在拖累效应。
"ts_decay_linear(group_neutralize(rank(cashflow_efficiency_rank_derivative) * rank(fnd6_newa1v1300_ibadj / (fn_liab_fair_val_l1_q + 0.001)), subindustry), 8)",现金流效率变动结合负债覆盖后的精简利润，构建免疫市值的质量驱动模型。
"ts_decay_linear(group_neutralize(regression_neut(rank(mdl177_2_historicalgrowthfactor_rsqr4qsales3y), rank(cap)), subindustry), 10)",通过对市值进行回归残差化，提取与规模无关的销售增长回归质量信号。
"ts_decay_linear(group_neutralize(rank(fnd6_newqv1300_xoptdq / (fnd2_ebitdm + 0.001)) - rank(mdl77_2gdna_beta), subindustry), 14)",评估相对于盈利能力的期权激励占比，并对冲Beta因子以获得去中心化信号。
"ts_decay_linear(group_neutralize(rank(mdl77_2_sensitivityfactor400_rev3my1std) / (rank(fn_op_lease_min_pay_due_a / cap) + 0.001), subindustry), 10)",营收敏感度除以经营租赁市值占比，剔除由于固定支出高导致的经营杠杆Beta。
"ts_decay_linear(group_neutralize(rank(mdl77_pricemomentumfactor_w57w03_rp) * rank(fn_comp_not_rec_q / (cap + 0.001)), subindustry), 12)",结合动量与市值中性化的未认领财报数据，捕捉被忽视的质量动量。
"ts_decay_linear(group_neutralize(rank(mdl177_2_put_put_cashburn) * rank(fnd2_dfctrbplancstrg / (fnd2_ebitdm + 0.001)), subindustry), 7)",将现金消耗与福利计划赤字结合，识别处于市值高位但基本面脆弱的空头信号。
"ts_decay_linear(group_neutralize(rank(mdl77_ohistoricalgrowthfactor_pfcoy3ghc) - rank(fn_repurchased_shares_value_q / (fnd6_newa1v1300_ibadj + 0.001)), subindustry), 15)",增长因子中剔除依赖利润回购来支撑市值的成分，寻找真实的内生增长。
"ts_decay_linear(group_neutralize(rank(cashflow_efficiency_rank_derivative) / (rank(mdl77_2gdna_beta) + 0.001), subindustry), 10)",现金流衍生秩对冲市值Beta，构建针对行业内相对效率的去市值模型。
"ts_decay_linear(group_neutralize(rank(fnd6_txdbca / (fn_liab_fair_val_l1_q + 0.001)) * rank(mdl77_2historicalgrowthfactor_chg3yepsp), subindustry), 18)",利用资产负债结构的税盾优势与EPS增长率结合，通过子行业中性化消除系统性偏见。
"ts_decay_linear(group_neutralize(rank(mdl77_2globaldevnorthamericasensitivityfactor_oilprice) - rank(fn_op_lease_min_pay_due_a / (cap + 0.001)), subindustry), 12)",去除油价宏观敏感度与租赁债务市值占比后的复合估值溢价。
"ts_decay_linear(group_neutralize(rank(mdl177_2_historicalgrowthfactor_rsqr4qsales3y) / (rank(fnd2_dbplanepdfbnfpythree / (fnd2_ebitdm + 0.001)) + 0.001), subindustry), 10)",销售增长R方除以盈利对福利计划覆盖率，挖掘基本面去杠杆后的纯净Alpha。
"group_neutralize(ts_decay_linear(-1 * rp_ess_technical, 10), subindustry)",利空反转：利用技术面情绪极端值，对过度反应的技术性情绪进行反向对冲。
"group_neutralize(ts_decay_linear(-1 * rp_ess_price, 5), subindustry)",价格情绪修正：针对价格类新闻情绪的短期超买超卖，进行特质性反转捕捉。
"group_neutralize(ts_decay_linear(-1 * (news_mins_20_chg / (news_prev_vol + 0.001)), 10), subindustry)",量价残差反转：单位前期波动率下的新闻后20分钟涨幅过大，预示涨势枯竭。
"group_neutralize(ts_decay_linear(-1 * (rp_css_equity * news_close_vol), 5), subindustry)",机构情绪动量剥离：结合收盘新闻量与股票情绪分值，寻找高热度后的情绪回落。
"group_neutralize(ts_decay_linear(rank(news_mins_5_pct_dn) - rank(news_mins_3_pct_up), 5), subindustry)",日内多空非对称反转：比较5分钟大幅下跌频率与3分钟上涨频率的失衡，捕捉超跌反弹。
"group_neutralize(ts_decay_linear(-1 * (news_mins_20_chg - news_low_exc_stddev), 10), subindustry)",极端偏差修复：利用新闻后的20分钟变化减去异常低点标准差，剥离噪音后的残差反转。
"group_neutralize(ts_decay_linear(-1 * (rp_ess_technical / (news_pre_vwap + 0.001)), 5), subindustry)",估值情绪偏离：相对于新闻前成交均价的技术情绪过热，暗示价格背离。
"group_neutralize(ts_decay_linear(-1 * (news_mins_3_pct_up / (news_close_vol + 0.001)), 10), subindustry)",缩量冲高反转：新闻引发的3分钟快速冲高若缺乏收盘量能支撑，则进行反向操作。
"group_neutralize(ts_decay_linear(rank(rp_ess_technical) + rank(news_mins_5_pct_dn), 5), subindustry)",情绪利好抗跌反转：技术面情绪触底且日内伴随急跌，构建超跌后的特质性反补。
"group_neutralize(ts_decay_linear(-1 * (rp_ess_price - rp_css_equity), 10), subindustry)",情绪偏差收敛：当价格情绪远高于权益整体情绪时，剥离共性后的特质性溢价回吐。
"group_neutralize(ts_decay_linear(-1 * log(news_prev_vol / (news_close_vol + 0.001)), 5), subindustry)",新闻量能衰减反转：通过前期与收盘量能的对比，识别新闻热度消退后的走势反转。
"group_neutralize(ts_decay_linear(-1 * (news_mins_20_chg * rp_ess_technical), 5), subindustry)",情绪与涨幅共振反转：技术情绪高涨伴随20分钟急涨，属于典型的短期情绪透支。
"group_neutralize(ts_decay_linear(rank(news_low_exc_stddev) - rank(news_mins_20_chg), 10), subindustry)",异常度溢价剥离：低位异常标准差较大的个股在经历20分钟涨幅后的回归逻辑。
"group_neutralize(ts_decay_linear(-1 * (rp_ess_price / (rp_ess_technical + 0.001)), 5), subindustry)",情绪纯度反转：价格情绪相对于技术情绪的过分亢奋，反映了基本面新闻的过度反应。
"group_neutralize(ts_decay_linear(-1 * (news_mins_3_pct_up * news_pre_vwap), 10), subindustry)",高位脉冲反转：在相对高价位出现的新闻诱导性3分钟急涨，作为短期卖出信号。
"group_neutralize(ts_decay_linear(rank(news_mins_5_pct_dn) - rank(rp_ess_technical), 5), subindustry)",恐慌情绪修复：技术情绪尚可但日内出现5分钟急跌，捕捉非理性恐慌后的残差向上。
"group_neutralize(ts_decay_linear(-1 * (news_close_vol / (news_prev_vol + 0.001)) * rp_css_equity, 10), subindustry)",放量情绪透支：伴随高成交量的股权情绪释放，通常预示阶段性顶部的到来。
"group_neutralize(ts_decay_linear(-1 * ts_mean(news_mins_20_chg, 3), 5), subindustry)",动量均值回归：剥离短期行业共性后，对连续新闻驱动的20分钟窗口变化进行均值回归。
"group_neutralize(ts_decay_linear(news_low_exc_stddev / (rp_ess_price + 0.001), 10), subindustry)",波动率抑制回归：在价格情绪较低时，利用异常偏离标准差寻找被错杀的特质性反弹性机会。
"group_neutralize(ts_decay_linear(-1 * (news_mins_20_chg + news_mins_3_pct_up), 5), subindustry)",复合乖离率反转：综合20分钟与3分钟的新闻脉冲强度，捕捉双重时间窗口下的超买修复。
"ts_decay_linear(group_neutralize(-rank(rp_css_revenue * news_pct_10min), subindustry), 10)",营收情绪与10分钟价格变动的交互反转：捕捉营收极度利好后的过度反应。
"ts_decay_linear(group_neutralize(-rank(rp_nip_labor / (news_atr14 + 0.001)), subindustry), 5)",劳动力相关新闻情绪经波动率调整后的反转，剥离市场波动对用工情绪的放大效应。
"ts_decay_linear(group_neutralize(-rank(rp_ess_dividends * news_ratio_vol), subindustry), 12)",分红事件情绪在成交量放大时的反转：高交易量往往代表情绪过热后的竭尽。
"ts_decay_linear(group_neutralize(-rank(news_mins_7_5_pct_up - news_mins_2_pct_up), subindustry), 8)",不同时间窗动量差值的残差反转：当短时上涨过快偏离中时趋势时看空。
"ts_decay_linear(group_neutralize(-rank(rp_nip_partner * news_session_range_pct), subindustry), 6)",合作伙伴相关情绪与交易日振幅的乘积反转，识别由合作利好导致的盘中过度拉升。
"ts_decay_linear(group_neutralize(-rank(news_ratio_vol / (news_atr14 + 0.001)), subindustry), 15)",新闻相关成交量比率与ATR的比值反转，寻找非波动性引起的异常成交量回归。
"ts_decay_linear(group_neutralize(-rank(rp_css_revenue / (news_session_range_pct + 0.001)), subindustry), 4)",单位价格振幅承载的营收情绪反转：当极小振幅伴随极高情绪时，往往存在预期偏差。
"ts_decay_linear(group_neutralize(-rank(news_pct_10min * news_ratio_vol), subindustry), 10)",10分钟价格涨幅与成交量放大倍数的交互反转，典型的量价背离式残差回归。
"ts_decay_linear(group_neutralize(-rank(rp_nip_labor + rp_nip_partner), subindustry), 10)",外部关联性（劳动力及合作伙伴）情绪加总反转，捕捉公司社会关系面异动后的均值回归。
"ts_decay_linear(group_neutralize(-rank(rp_ess_dividends / (news_mins_7_5_pct_up + 0.001)), subindustry), 7)",分红情绪相对于新闻后上涨频率的反转，识别利好兑现后的动量衰减。
"ts_decay_linear(group_neutralize(-rank(news_session_range_pct * news_atr14), subindustry), 5)",日内振幅与历史ATR的共同溢价反转：剥离市场共性波动后的个股特质性超涨。
"ts_decay_linear(group_neutralize(-rank(rp_css_revenue - rp_nip_labor), subindustry), 12)",营收情绪与劳动力压力情绪差值的反转：关注基本面预期与内部成本矛盾导致的溢价。
"ts_decay_linear(group_neutralize(-rank(news_mins_2_pct_up / (news_ratio_vol + 0.001)), subindustry), 6)",单位新闻成交量支撑的极短线动量反转：缺乏量能支撑的快速冲高往往面临衰竭。
"ts_decay_linear(group_neutralize(-rank(rp_nip_partner / (news_pct_10min + 0.001)), subindustry), 10)",合作伙伴情绪与短时价格反映的比率反转，挖掘新闻情绪未被价格完全或过度吸收的部分。
"ts_decay_linear(group_neutralize(-rank(news_atr14 * news_ratio_vol), subindustry), 8)",历史波动率与新闻交易活跃度的复合因子反转，识别低波动背景下的异常放量冲击。
"ts_decay_linear(group_neutralize(-rank(ts_rank(rp_css_revenue, 20) * news_mins_7_5_pct_up), subindustry), 5)",长期营收情绪分位数与中期涨幅频率的交互反转，捕捉情绪高位下的动量力竭。
"ts_decay_linear(group_neutralize(-rank(rp_nip_labor * news_ratio_vol), subindustry), 10)",劳动力新闻情绪在放量期的残差反转，针对用工信息披露导致的流动性冲击进行套利。
"ts_decay_linear(group_neutralize(-rank(news_pct_10min - news_session_range_pct), subindustry), 9)",10分钟价格突变相对于全天振幅的离群值反转，识别突发新闻造成的日内过度反应。
"ts_decay_linear(group_neutralize(-rank(rp_ess_dividends + rp_css_revenue), subindustry), 11)",股利与营收双重利好情绪加和反转：对抗多重利好叠加引发的不可持续性买入。
"ts_decay_linear(group_neutralize(-rank(news_mins_2_pct_up * news_atr14), subindustry), 7)",极短线动量与价格风险溢价的乘积反转，在波动加剧时对短线冲高进行对冲。
"ts_decay_linear(group_neutralize(rank(ts_delta(implied_volatility_mean_20, 5) * returns), subindustry), 10)",隐含波动率变化与收益率的共振：当IV上升且价格上涨时，确认上行动量，反之亦然。
"ts_decay_linear(group_neutralize(rank(historical_volatility_90 / (implied_volatility_mean_20 + 0.001)), subindustry), 15)",历史波动率与隐含波动率的偏离：捕捉预期波动率被低估带来的价值修复机会。
"ts_decay_linear(group_neutralize(rank(implied_volatility_put_20 - implied_volatility_call_10), subindustry), 12)",短期虚值看跌期权溢价：衡量市场对短期下行保护的防御性溢价水平。
"ts_decay_linear(group_neutralize(rank(pcr_vol_30 / (pcr_oi_120 + 0.001)), subindustry), 10)",期权成交量PCR与持仓量PCR的比值：反映短期情绪相对于长期头寸的剧烈博弈。
"ts_decay_linear(group_neutralize(-rank(implied_volatility_mean_20 / (implied_volatility_mean_360 + 0.001)), subindustry), 20)",波动率期限结构的反转：短期IV远高于长期IV通常对应情绪过热或极度恐慌的顶点。
"ts_decay_linear(group_neutralize(rank(ts_rank(implied_volatility_put_60, 120)), subindustry), 10)",期权看跌隐含波动率在历史区间的位置，作为市场过度对冲的逆向指标。
"ts_decay_linear(group_neutralize(rank(forward_price_150 / (option_breakeven_180 + 0.001)), subindustry), 15)",远期价格与期权损益平衡点的分布：衡量衍生品市场定价的隐含上行空间。
"ts_decay_linear(group_neutralize(-rank(ts_delta(pcr_oi_120, 10)), subindustry), 10)",长期持仓PCR的变化率：捕捉大资金对冲头寸撤出的平仓信号。
"ts_decay_linear(group_neutralize(rank(correlation(implied_volatility_mean_20, returns, 20)), subindustry), 12)",IV与收益率的相关性：正相关性增强往往预示着动能加速阶段。
"ts_decay_linear(group_neutralize(-rank(ts_std_dev(implied_volatility_mean_20, 20)), subindustry), 10)",波动率的波动性（Vol of Vol）：压制IV波动过剧的公司，寻找稳健的动量确认。
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_10 / (implied_volatility_mean_20 + 0.001)), subindustry), 10)",超短期看涨期权意愿：识别投资者对即期爆发性利好的溢价支付意愿。
"ts_decay_linear(group_neutralize(-rank(implied_volatility_put_60 / (historical_volatility_90 + 0.001)), subindustry), 15)",中长看跌IV相对已实现波动率的溢价：评估下行风险定价是否过高。
"ts_decay_linear(group_neutralize(rank(ts_delta(option_breakeven_180, 5) / (forward_price_150 + 0.001)), subindustry), 8)",期权盈亏平衡点的上移斜率，反映了期权庄家和大型投机者对价格中枢的预期抬升。
"ts_decay_linear(group_neutralize(rank(ts_rank(pcr_vol_30, 60)), subindustry), 10)",成交量PCR的历史百分位：寻找短期情绪极值后的趋势加速。
"ts_decay_linear(group_neutralize(-rank(implied_volatility_mean_360 - ts_delay(implied_volatility_mean_360, 20)), subindustry), 20)",长期IV基准的稳定性：规避长期不确定性陡增的公司。
"ts_decay_linear(group_neutralize(rank(implied_volatility_put_20 * pcr_vol_30), subindustry), 12)",看跌压力共振因子：结合IV水平与量能比例，识别深度回调后的买入机会。
"ts_decay_linear(group_neutralize(rank(returns / (implied_volatility_mean_20 + 0.001)), subindustry), 10)",单位隐含波动率下的收益表现，即隐含波动率校正后的动量因子。
"ts_decay_linear(group_neutralize(-rank(ts_max(implied_volatility_call_10, 20)), subindustry), 15)",看涨IV峰值压制：回避短期认购期权极度拥挤、波动率透支的情况。
"ts_decay_linear(group_neutralize(rank(ts_delta(forward_price_150 - option_breakeven_180, 10)), subindustry), 10)",远期价差动量：远期预测价格与平衡点之差的扩张，预示着基本面的强劲支撑。
"ts_decay_linear(group_neutralize(rank(ts_rank(implied_volatility_mean_20, 252) - ts_rank(historical_volatility_90, 252)), subindustry), 15)",IV百分位与HV百分位的差值：捕捉市场预期偏差最剧烈的品种。
"ts_decay_linear(group_neutralize(-1 * rank(rp_css_ptg), subindustry), 10)",对目标价预测新闻情绪进行全截面排序并做子行业中性化，利用情绪极端高涨后的特质性反转效应。
"ts_decay_linear(group_neutralize(-1 * (rp_css_insider / (news_prev_vol + 0.001)), subindustry), 15)",单位新闻量下的内部交易情绪，通过中性化剥离行业共同暴露，捕捉内部交易消息过热后的回撤。
"ts_decay_linear(group_neutralize(-1 * news_mins_20_chg, subindustry), 5)",20分钟内新闻频率的极速变化往往预示情绪见顶，对该指标进行行业中性化后做短期反转。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_labor - ts_mean(rp_nip_labor, 10)), subindustry), 20)",劳动力相关新闻影响预测值偏离其10日均线时，代表非理性冲击，通过行业中性化捕捉残差反转。
"ts_decay_linear(group_neutralize(-1 * rank(news_high_exc_stddev * rp_css_ptg), subindustry), 12)",在新闻高波动的极端背景下，目标价情绪的冲击更容易透支，中性化后挖掘特质性过度反应的修复。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_dividends / (news_dividend_yield + 0.001)), subindustry), 8)",红利事件情绪相对股息率的异常值，反映了分红预期的超涨，剥离行业因素后交易其回归。
"ts_decay_linear(group_neutralize(-1 * rp_nip_equity, subindustry), 10)",权益类新闻影响预测值反映了融资或股权变动情绪，通过中性化剔除宏观逻辑，寻找残差层面的反转。
"ts_decay_linear(group_neutralize(-1 * news_mins_1_pct_dn, subindustry), 5)",新闻发布后1分钟内的极端下跌幅度通常包含恐慌因子，行业中性化后捕捉短期情绪过激的均值回归。
"ts_decay_linear(group_neutralize(-1 * ts_delta(rp_css_ptg, 5), subindustry), 10)",过去5天目标价情绪的变动率，若变动过快则存在情绪动量衰减，通过行业中性化提取特质性反转信号。
"ts_decay_linear(group_neutralize(-1 * (news_prev_vol / (news_high_exc_stddev + 0.001)), subindustry), 15)",新闻存量与异常波动率的比值，代表信息消化吸收后的冷淡期，中性化后用于寻找被忽视的反转点。
"ts_decay_linear(group_neutralize(-1 * rank(rp_nip_labor + rp_css_insider), subindustry), 10)",结合劳动力情绪与内部人交易情绪的综合因子，通过强力反转逻辑捕捉跨维度情绪共振后的衰退。
"ts_decay_linear(group_neutralize(-1 * (rp_css_ptg * news_mins_20_chg), subindustry), 6)",当新闻突发节奏与目标价情绪同向共振时，往往是趋势末端的信号，中性化后捕捉其残差层面的反转。
"ts_decay_linear(group_neutralize(-1 * rank(news_dividend_yield), subindustry), 20)",对新闻源股息率进行全截面排序并做子行业中性化，利用高股息新闻热度后的反向估值修正。
"ts_decay_linear(group_neutralize(-1 * ts_sum(rp_ess_dividends, 5), subindustry), 10)",过去5日红利情绪的累积，反映了利好消息的过度堆砌，通过中性化剥离行业动量做深度反转。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_equity / (news_prev_vol + 0.001)), subindustry), 12)",经过新闻量标准化的权益情绪冲击，在中性化处理后能有效隔离单只股票的特质性情绪过度反应。
"ts_decay_linear(group_neutralize(-1 * news_high_exc_stddev, subindustry), 15)",利用新闻异常波动率本身作为反转因子，高波动往往对应信息过度反馈，行业中性化后交易其收敛。
"ts_decay_linear(group_neutralize(-1 * (rp_css_ptg - ts_mean(rp_css_ptg, 20)), subindustry), 10)",目标价情绪与其长期均线的残差，代表了短期的极端偏离，通过中性化增强因子的特质反转属性。
"ts_decay_linear(group_neutralize(-1 * rank(news_mins_1_pct_dn + news_mins_20_chg), subindustry), 5)",复合短期下跌压力与新闻频率变化，识别极度恐慌的抛售点，中性化后做多特质性受损过重的个股。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_labor / (rp_nip_equity + 0.001)), subindustry), 10)",劳动力情绪相对于权益情绪的异常比例，刻画了公司治理成本焦点的偏移，利用中性化后的残差进行反转。
"ts_decay_linear(group_neutralize(-1 * rank(rp_ess_dividends * news_prev_vol), subindustry), 14)",红利情绪与新闻量的交互项，捕捉在极度关注下的分红利好出尽效应，中性化后执行反转策略。
"group_neutralize(ts_decay_linear(rank(anl4_qfv4_cfps_median / (fnd6_mkvaltq + 0.001)) - rank(fn_interest_payable_a / (fnd6_newa2v1300_seqo + 0.001)), 10), subindustry)",分析师预期的现金流中值与市值占比，对冲利息支出的负债压力，寻找高预期且财务稳健的个股。
"group_neutralize(ts_decay_linear(rank(min_free_cash_flow_guidance / (fnd6_aox + 0.001)) - rank(fn_liab_fair_val_l1_a / (fnd6_mkvaltq + 0.001)), 10), subindustry)",保守自由现金流指引与总资产比率，排除公允价值负债敞口过大的公司。
"group_neutralize(ts_decay_linear(-rank(sales_estimate_stddev_quarterly / (sales_estimate_average_quarterly + 0.001)) + rank(fnd6_newa2v1300_seqo / (fnd6_mkvaltq + 0.001)), 12), subindustry)",销售预测一致性（低偏差）叠加高股东权益占比，捕捉预期稳定且财务质量高的标的。
