expression,desc
"ts_decay_linear(group_neutralize(-1 * (ts_rank(rp_ess_assets, 10) / (ts_rank(news_low_exc_stddev, 10) + 0.001)), subindustry), 6)",资产情绪排名与新闻波动排名的双重残差逻辑，锁定高情绪排名、低波动背景下的伪突破反转。
"ts_decay_linear(group_neutralize(rank(highest_sales_estimate / (sales_estimate_minimum + 0.001)) + rank(fnd6_oprepsx / (sales + 0.001)), subindustry), 10)",预期销售极差（乐观度）与营业每股收益（财务质量）的组合因子
"ts_decay_linear(group_neutralize(rank(est_eps - ts_delay(est_eps, 5)) * rank(fnd6_newqv1300_ibq / (fnd6_xopr + 0.001)), subindustry), 10)",EPS预期短期变动与营运成本覆盖率的交叉度量
"ts_decay_linear(group_neutralize(rank(min_ebitda_guidance / (fnd6_optdrq + 0.001)) - rank(fn_goodwill_acquired_during_period_q / (sales + 0.001)), subindustry), 10)",最低EBITDA指引对递延收入的覆盖能力及其对商誉增长的惩罚
"ts_decay_linear(group_neutralize(rank(est_capex / (anl4_capex_mean + 0.001)) * rank(fnd6_cptnewqv1300_epsx12), subindustry), 10)",资本支出预算扩张与过去12个月每股现金流的质量共振
"ts_decay_linear(group_neutralize(rank(pretax_income_actual_reported_value / (highest_sales_estimate + 0.001)) + rank(fnd6_dm / (sales + 0.001)), subindustry), 10)",实际税前收入对最高营收预期的转换率结合折旧摊销力度（资产重度）
"ts_decay_linear(group_neutralize(rank(anl4_ptpr_low / (fnd2_unrgtxbnfinregfprtxps + 0.001)), subindustry), 10)",保守分析师目标价相对于非正规税收财务项的溢价
"ts_decay_linear(group_neutralize(rank(est_eps / (est_capex + 0.001)) * rank(fnd6_oprepsx / (fnd6_xopr + 0.001)), subindustry), 10)",预期每股盈利对资本性支出的投入产出比与经营效率的结合
"ts_decay_linear(group_neutralize(rank(anl4_qf_az_hgih_spfc / (sales_estimate_minimum + 0.001)) - rank(fnd2_a_bnscbmacqrcsts / (sales + 0.001)), subindustry), 10)",分析师高预期分值相对于收购相关成本的稳健性评估
"ts_decay_linear(group_neutralize(rank(ts_delta(highest_sales_estimate, 10) / (sales + 0.001)) * rank(fnd6_newqv1300_ibq), subindustry), 10)",最高营收预期增量与季度净收入稳定性的协同
"ts_decay_linear(group_neutralize(rank(est_eps / (ts_delay(est_eps, 20) + 0.001)) + rank(fnd6_dm / (fnd6_optdrq + 0.001)), subindustry), 10)",EPS预期动量与折旧相对于递延收入比率的质量正交
"ts_decay_linear(group_neutralize(rank(min_ebitda_guidance / (anl4_capex_number + 0.001)) * rank(fnd6_oprepsx), subindustry), 10)",单位资本支出项能产生的最低EBITDA指引与实际经营EPS的验证
"ts_decay_linear(group_neutralize(rank(anl4_ptpr_low / (pretax_income_actual_reported_value + 0.001)) - rank(fn_goodwill_acquired_during_period_q), subindustry), 10)",保守估值相对于实际税前利润的支撑位及低商誉风险过滤
"ts_decay_linear(group_neutralize(rank(anl4_capex_mean / (est_capex + 0.001)) * rank(sales / (fnd6_xopr + 0.001)), subindustry), 10)",资本支出保守度（均值大于预期）与营收成本比（利润空间）
"ts_decay_linear(group_neutralize(rank(est_eps / (sales_estimate_minimum + 0.001)) + rank(fnd2_unrgtxbnfinregfprtxps / (fnd6_newqv1300_ibq + 0.001)), subindustry), 10)",单位预估营收产生的预估EPS与税收项目透明度的结合
"ts_decay_linear(group_neutralize(rank(ts_delta(min_ebitda_guidance, 5) / (anl4_ptpr_low + 0.001)) * rank(fnd6_cptnewqv1300_epsx12), subindustry), 10)",EBITDA指引上调与现金流质量的共振
"ts_decay_linear(group_neutralize(rank(highest_sales_estimate / (anl4_capex_mean + 0.001)) - rank(fnd2_a_bnscbmacqrcsts / (fnd6_oprepsx + 0.001)), subindustry), 10)",乐观营收预期需要的资本密集度与收购重组成本对EPS的侵蚀度
"ts_decay_linear(group_neutralize(rank(anl4_qf_az_hgih_spfc * est_eps) + rank(fnd6_optdrq / (fnd6_xopr + 0.001)), subindustry), 10)",高质量预期评分下的每股收益预期与营运负债/成本比率
"ts_decay_linear(group_neutralize(rank(pretax_income_actual_reported_value / (anl4_ptpr_low + 0.001)) * rank(sales / (fnd6_dm + 0.001)), subindustry), 10)",实际税前收入对保守价格目标的防御性与资产周转效率
"ts_decay_linear(group_neutralize(rank(est_eps - ts_delay(est_eps, 10)) / (rank(fn_goodwill_acquired_during_period_q) + 0.001), subindustry), 10)",EPS预期增长趋势被商誉获取风险（并购扩张风险）标准化
"ts_decay_linear(group_neutralize(rank(min_ebitda_guidance / (sales + 0.001)) + rank(fnd6_oprepsx / (fnd6_cptnewqv1300_epsx12 + 0.001)), subindustry), 10)",指引利润率与经营EPS对现金流的转化质量
"ts_decay_linear(group_neutralize(rank(ts_delta(implied_volatility_call_10, 5)), subindustry), 10)",短期看涨期权隐含波动率的5日变化率，捕捉市场情绪的快速升温
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_10 / (implied_volatility_mean_60 + 0.001)), subindustry), 12)",极短端IV相对于标准IV的变化，作为动量确认的爆发力指标
"ts_decay_linear(group_neutralize(rank(pcr_vol_10 / (pcr_oi_all + 0.001)), subindustry), 15)",短期成交PCR相对于全期限持仓PCR的偏离度，衡量即时投机情绪
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_90 - implied_volatility_call_360), subindustry), 10)",IV期限结构的斜率：中短期IV高于长期IV通常对应强烈的方向性驱动
"ts_decay_linear(group_neutralize(rank(ts_rank(pcr_oi_30, 60)), subindustry), 5)",30日持仓PCR在过去60天的分位数排名，识别机构套保力量的阶段性顶部
"ts_decay_linear(group_neutralize(rank(call_breakeven_270 / (ts_mean(call_breakeven_270, 20) + 0.001)), subindustry), 10)",270日看涨期权盈亏平衡价相对于其均线的偏离，反映长期看涨预期的拉升
"ts_decay_linear(group_neutralize(rank(ts_delta(pcr_vol_1080, 10)), subindustry), 20)",超长端成交PCR的10日变动，捕捉长线大宗资金的看跌/看涨情绪转换
"ts_decay_linear(group_neutralize(rank(ts_stddev(implied_volatility_call_90, 20) / (implied_volatility_call_90 + 0.001)), subindustry), 8)",90日IV的波动性，高IV波动通常伴随趋势的加速或转折确认
"ts_decay_linear(group_neutralize(rank(pcr_oi_270 / (pcr_oi_all + 0.001)), subindustry), 10)",长端持仓PCR占比，反映长线资金对尾部风险的对冲集中度
"ts_decay_linear(group_neutralize(rank(ts_corr(implied_volatility_call_10, pcr_vol_10, 20)), subindustry), 10)",短期IV与成交PCR的相关性：正相关通常暗示恐慌性买入
"ts_decay_linear(group_neutralize(rank(ts_delta(pcr_oi_30, 2) / (ts_stddev(pcr_oi_30, 20) + 0.001)), subindustry), 5)",30日持仓PCR的异动脉冲，寻找短期仓位失衡的套利机会
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_360 / (ts_mean(implied_volatility_call_360, 252) + 0.001)), subindustry), 15)",年化长端IV的均值回归信号，用于过滤过度反应的极端行情
"ts_decay_linear(group_neutralize(rank(ts_rank(implied_volatility_mean_60, 120) - ts_rank(pcr_oi_all, 120)), subindustry), 10)",综合IV分位数与持仓PCR分位数的差值，构建多维度悲观/乐观指标
"ts_decay_linear(group_neutralize(rank(call_breakeven_270 - ts_min(call_breakeven_270, 60)), subindustry), 10)",远端看涨期权盈亏平衡价的探底回升，确认价格底部支撑力
"ts_decay_linear(group_neutralize(rank(ts_delta(implied_volatility_call_10, 3) * ts_delta(pcr_vol_10, 3)), subindustry), 5)",IV变动与PCR成交变动的复合信号，寻找量价确认的动量点
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_90 / (ts_mean(implied_volatility_call_10, 5) + 0.001)), subindustry), 10)",90日IV相对于短期IV均值的溢价，衡量期权定价的期限升水
"ts_decay_linear(group_neutralize(rank(ts_zscore(pcr_oi_270, 60)), subindustry), 15)",270日持仓PCR的Z-Score，识别长线对冲头寸的异常拥挤度
"ts_decay_linear(group_neutralize(rank(log(implied_volatility_mean_60 + 0.001) - log(ts_delay(implied_volatility_mean_60, 10) + 0.001)), subindustry), 12)",波动率均值的对数收益率，用于捕捉非线性的情绪波动加速
"ts_decay_linear(group_neutralize(rank(ts_arg_max(implied_volatility_call_10, 20)), subindustry), 10)",短期IV达到20日最高点后的持续时间，判断恐慌或亢奋情绪的衰减
"ts_decay_linear(group_neutralize(rank(ts_corr(call_breakeven_270, pcr_oi_30, 40)), subindustry), 20)",远端盈亏平衡价与中短期持仓PCR的相关性，刻画长期预期与短期波动的同步性
"group_neutralize(ts_decay_linear(-1 * rank(rp_nip_revenue - ts_mean(rp_nip_revenue, 20)), 10), subindustry)",剥离营收情绪的中枢趋势，捕捉营收新闻超预期后的特质性反转情绪。
"group_neutralize(ts_decay_linear(-1 * rank(news_mins_7_5_pct_up / (news_mins_7_5_chg + 0.001)), 5), subindustry)",利用单位价格波动下的新闻暴涨频率作为过热指标，进行短期过度反应反转。
"group_neutralize(ts_decay_linear(-1 * rank(rp_css_product - ts_mean(rp_css_product, 15)), 8), subindustry)",剥离产品线新闻的长期动量，针对产品发布或创新情绪的短期脉冲做残差反转。
"group_neutralize(ts_decay_linear(-1 * rank(rp_ess_labor / (rp_css_assets + 0.001)), 10), subindustry)",相对于资产规模的劳动力情绪残留，反映企业成本压力过载后的情绪修复。
"group_neutralize(ts_decay_linear(-1 * rank(news_max_up_amt - ts_max(news_max_up_amt, 10)), 5), subindustry)",新闻最大向上振幅在达到近期峰值后表现出的衰竭信号，预示特质性反转。
"group_neutralize(ts_decay_linear(-1 * rank(rp_css_ptg / (ts_std(rp_css_ptg, 20) + 0.001)), 12), subindustry)",经波动率调整后的价格目标指导意见情绪，剔除市场噪音后的动能剥离。
"group_neutralize(ts_decay_linear(-1 * rank(ts_delta(rp_ess_dividends, 5)), 6), subindustry)",分红政策情绪的突发变化往往导致估值短期脉冲，利用其残差规律捕捉反转。
"group_neutralize(ts_decay_linear(-1 * rank(news_mins_2_pct_dn - ts_mean(news_mins_2_pct_dn, 20)), 10), subindustry)",剥离下跌新闻频率的背景均值，识别因负面情绪过度拥挤导致的特质性反弹。
"group_neutralize(ts_decay_linear(-1 * rank(rp_nip_revenue * rp_css_ptg), 5), subindustry)",营收情绪与价格导向情绪的交互强度，反映多重共识达成后的情绪反转点。
"group_neutralize(ts_decay_linear(-1 * rank(news_mins_7_5_chg / (ts_std(news_mins_7_5_chg, 20) + 0.001)), 10), subindustry)",高频价格变动情绪的风险平滑项，剥离波动率动量后的特质性价格修正。
"group_neutralize(ts_decay_linear(-1 * rank(rp_css_assets - ts_rank(rp_css_assets, 60)), 8), subindustry)",资产规模相关新闻在长期序列中的相对位置，识别过度扩张情绪的残差反转。
"group_neutralize(ts_decay_linear(-1 * rank(news_max_up_amt / (news_mins_7_5_pct_up + 0.001)), 10), subindustry)",最大涨幅与上涨频率的比率，识别单次利好情绪透支而缺乏持续性的个股。
"group_neutralize(ts_decay_linear(-1 * rank(ts_delta(rp_css_product, 3) * ts_delta(rp_nip_revenue, 3)), 5), subindustry)",产品与营收情绪同步变动的二阶导数，捕捉复合利好后的筹码松动。
"group_neutralize(ts_decay_linear(-1 * rank(rp_ess_labor - rp_css_assets), 12), subindustry)",劳动力情绪与资产规模情绪的剪刀差残差，反映内部运营压力的极端值反转。
"group_neutralize(ts_decay_linear(-1 * rank(news_mins_7_5_pct_up - news_mins_2_pct_dn), 10), subindustry)",多空高频新闻频率的非平衡残差，用于捕捉多空博弈白热化后的特质反转。
"group_neutralize(ts_decay_linear(-1 * rank(rp_ess_dividends / (rp_nip_revenue + 0.001)), 7), subindustry)",分红情绪相对于盈利情绪的溢价，剥离基本面动量后的分配逻辑反转。
"group_neutralize(ts_decay_linear(-1 * rank(ts_rank(news_mins_7_5_chg, 20)), 5), subindustry)",短期内高频新闻变动幅度的排位残差，识别极端情绪暴露后的均值回归。
"group_neutralize(ts_decay_linear(-1 * rank(rp_css_ptg - ts_mean(rp_css_ptg, 5)), 10), subindustry)",剥离分析师价格指引的短期趋势，捕捉指引调整过快导致的特质性情绪回撤。
"group_neutralize(ts_decay_linear(-1 * rank(news_max_up_amt * news_mins_2_pct_dn), 8), subindustry)",极端向上脉冲与极速下跌频率的乘积，识别波动性衰竭点的特质性机会。
"group_neutralize(ts_decay_linear(-1 * rank(ts_delta(rp_css_assets, 10) / (ts_std(rp_css_assets, 20) + 0.001)), 10), subindustry)",资产扩充新闻的标准化变化率，剥离行业扩张动量后的单票溢价反转。
"ts_decay_linear(group_neutralize(rank(anl4_qfv4_cfps_high / (assets + 0.001)) * rank(1 / (fn_finite_lived_intangible_assets_net_a + 0.001)), subindustry), 10)",高现金流预期与低无形资产负担正交，寻找预期上行且资产质量轻盈的标的。
"ts_decay_linear(group_neutralize(rank(est_ebit / (fnd6_cptnewqv1300_lctq + 0.001)) + rank(anl4_gric_high), subindustry), 5)",分析师高增长预期（GRIC）与息税前利润覆盖流动负债能力的组合。
"ts_decay_linear(group_neutralize(rank(max_share_buyback_guidance / (assets + 0.001)) * rank(anl4_epsa_flag), subindustry), 12)",最大回购指引强度与分析师盈利修正信号（EPSA Flag）的交集。
"ts_decay_linear(group_neutralize(rank(anl4_rd_exp_high / (employee + 0.001)) * rank(1 / (fn_def_tax_liab_q + 0.001)), subindustry), 8)",人均研发投入高预期与低递延所得税负债，体现创新动力与税务健康度。
"ts_decay_linear(group_neutralize(rank(min_adjusted_funds_from_operations_adj_guidance / (fnd6_cptnewqv1300_lctq + 0.001)), subindustry), 20)",基于调整后营运资金指引的偿债稳健性分析，捕捉优质现金流预期。
"ts_decay_linear(group_neutralize(rank(anl4_qfv4_cfps_number) * rank(fnd6_newqv1300_glceeps12 / (fnd6_newqv1300_prcdq + 0.001)), subindustry), 10)",现金流分析师覆盖频次与市盈率倒数的正交，寻找被市场广泛关注且估值合理的绩优股。
"ts_decay_linear(group_neutralize(rank(est_ebit / (fn_amortization_of_intangible_assets_q + 0.001)) + rank(anl4_cff_number), subindustry), 15)",预期EBIT对无形资产摊销的覆盖程度与融资现金流预期关注度的融合。
"ts_decay_linear(group_neutralize(rank(anl4_qf_az_dts_spe / (assets + 0.001)) * rank(1 / (fnd2_a_landlandiprts + 0.001)), subindustry), 7)",特定稅务策略预期与低土地资产占比（资产流动性高）的结合。
"ts_decay_linear(group_neutralize(rank(anl4_gric_high) / (rank(fn_comp_non_opt_nonvested_number_a) + 0.001), subindustry), 10)",高增长指引与较低的非期权未归属补偿数量（股权稀释压力小）的正交。
"ts_decay_linear(group_neutralize(rank(anl4_qfv4_cfps_high - anl4_qfv4_cfps_number) * rank(est_ebit / (assets + 0.001)), subindustry), 5)",现金流预期离散度修正后的价值因子，结合资产回报率预期。
"ts_decay_linear(group_neutralize(rank(max_share_buyback_guidance / (fn_def_tax_liab_q + 0.001)), subindustry), 10)",回购指引强度与财务报表质量（递延税项）的防御性组合。
"ts_decay_linear(group_neutralize(rank(anl4_rd_exp_high / (fnd6_newqv1300_prcdq + 0.001)) * rank(anl4_epsa_flag), subindustry), 12)",单位股价对应的研发投入强度与盈利修正信号的共振。
"ts_decay_linear(group_neutralize(rank(min_adjusted_funds_from_operations_adj_guidance / (employee + 0.001)), subindustry), 15)",人均营运资金指引强度，衡量企业经营效率的预期改善。
"ts_decay_linear(group_neutralize(rank(anl4_cff_number / (fnd6_cptnewqv1300_lctq + 0.001)) + rank(anl4_qfv4_cfps_high), subindustry), 8)",融资现金流关注度与现金流指引高点的双重筛选。
"ts_decay_linear(group_neutralize(rank(est_ebit / (fnd2_a_landlandiprts + 0.001)) * rank(anl4_gric_high), subindustry), 10)",土地资产产出效率的预期改善与高成长指引的正交。
"ts_decay_linear(group_neutralize(rank(anl4_qf_az_dts_spe) - rank(fn_comp_non_opt_nonvested_number_a / (assets + 0.001)), subindustry), 5)",税务优化预期与管理层激励成本（未归属股份）的质量平衡。
"ts_decay_linear(group_neutralize(rank(anl4_qfv4_cfps_number / (employee + 0.001)) * rank(est_ebit / (fnd6_cptnewqv1300_lctq + 0.001)), subindustry), 12)",分析师覆盖的人均密集度与短期偿债安全性下的盈利预期。
"ts_decay_linear(group_neutralize(rank(anl4_rd_exp_high / (fn_finite_lived_intangible_assets_net_a + 0.001)), subindustry), 20)",研发投入相对存量无形资产的扩张倍数，识别处于创新上升期的公司。
"ts_decay_linear(group_neutralize(rank(max_share_buyback_guidance / (fnd6_newqv1300_glceeps12 + 0.001)), subindustry), 10)",回购计划相对于盈利能力的规模，判断回购指引的可信度与力度。
"ts_decay_linear(group_neutralize(rank(anl4_epsa_flag) * rank(est_ebit / (fn_def_tax_liab_q + 0.001)), subindustry), 15)",盈利标志位上调与低税务风险结合，通过财务稳健性过滤预期噪音。
"ts_decay_linear(group_neutralize(residualize(rank(mdl77_2gdna_cashc), rank(fnd6_mkvaltq)), subindustry), 15)",对现金流修正模型进行市值中性化处理，消除大市值因子对现金流质量评估的偏差。
"ts_decay_linear(group_neutralize(residualize(rank(mdl177_2_globaldevnorthamerica_v502_fc_fwdroe), rank(log(fnd6_mkvaltq + 0.001))), subindustry), 10)",将前瞻性ROE增长模型对对数市值进行回归取残差，提取剔除规模效应后的纯净盈利能力信号。
"ts_decay_linear(group_neutralize(residualize(rank(mdl77_2surpriseanalystmodel_qsa_surpsn), rank(fnd6_mkvaltq)), subindustry), 5)",分析师盈余惊喜模型的去市值化处理，专注于捕获非对称信息带来的超额收益。
"ts_decay_linear(group_neutralize(residualize(rank(mdl177_2_deepvaluefactor_ttmcfp), rank(fnd6_mkvaltq)), subindustry), 20)",深证价值因子在剔除市值Beta后的表现，旨在寻找被市场低估的小盘价值机会。
"ts_decay_linear(group_neutralize(residualize(rank(mdl77_2gdna_pfcf_cf / (fnd6_mkvaltq + 0.001)), rank(fnd6_mkvaltq)), subindustry), 12)",自由现金流收益率在全市场市值中性化后的强度信号，强化现金流对市值的相对性价比。
"ts_decay_linear(group_neutralize(residualize(rank(mdl77_ovalueanalystmodel_tmtscni_avq), rank(fnd6_mkvaltq)), subindustry), 8)",分析师估值修正模型去市值化，剔除覆盖率偏好导致的市值偏差。
"ts_decay_linear(group_neutralize(residualize(rank(mdl177_liquidityriskfactor_covol_alt), rank(fnd6_mkvaltq)), subindustry), 14)",流动性风险协方差因子去市值化，捕捉与规模无关的异常流动性溢价。
"ts_decay_linear(group_neutralize(residualize(rank(mdl177_fa_fixastto), rank(fnd6_mkvaltq)), subindustry), 10)",固定资产周转率经市值回归后的残差信号，衡量同等规模下的资产利用效率。
"ts_decay_linear(group_neutralize(residualize(rank(mdl177_2_liquidityriskfactor_nlsales), rank(fnd6_mkvaltq)), subindustry), 10)",净销售流动性风险因子去市值化，专注于识别非规模诱导的交易风险。
"ts_decay_linear(group_neutralize(residualize(rank(mdl77_historicalgrowthfactor_rsqr4qsales3y), rank(fnd6_mkvaltq)), subindustry), 10)",历史销售增长稳定性因子去市值化，排除大中型企业特有的增长稳定性溢价。
"ts_decay_linear(group_neutralize(residualize(rank(fnd6_newa2v1300_txach), rank(fnd6_mkvaltq)), subindustry), 12)",税收变更透明度因子去市值化，挖掘财务报表质量中的隐匿Alpha。
"ts_decay_linear(group_neutralize(residualize(rank(fnd2_a_sbcpnargmtwfsptepddvdrt / (fnd6_mkvaltq + 0.001)), rank(fnd6_mkvaltq)), subindustry), 15)",单位市值的股权激励与红利支出比率，经市值中性化后衡量管理层激励纯净度。
"ts_decay_linear(group_neutralize(residualize(rank(fnd6_newqv1300_optfvgrq), rank(fnd6_mkvaltq)), subindustry), 7)",期权公允价值增长因子去市值化，捕捉市场对公司波动率的非规模定价误差。
"ts_decay_linear(group_neutralize(residualize(rank(fn_interest_paid_net_a / (fnd6_mkvaltq + 0.001)), rank(fnd6_mkvaltq)), subindustry), 10)",净利息支出密度信号，通过市值中性化剔除财务杠杆对规模的依赖性。
"ts_decay_linear(group_neutralize(residualize(rank(fnd6_acqgdwl), rank(fnd6_mkvaltq)), subindustry), 18)",收购商誉因子去市值化，识别与其市值规模不成比例的过度扩张风险。
"ts_decay_linear(group_neutralize(residualize(rank(fn_derivative_notional_amount_q / (fnd6_mkvaltq + 0.001)), rank(fnd6_mkvaltq)), subindustry), 11)",衍生品名义金额密度去市值化，衡量同等规模下公司的对冲或投机激进程度。
"ts_decay_linear(group_neutralize(residualize(rank(fnd6_cptmfmq_atq), rank(fnd6_mkvaltq)), subindustry), 13)",资本密集度因子去市值化处理，挖掘高效率、轻资产运作的优质标的。
"ts_decay_linear(group_neutralize(residualize(rank(fnd6_optdrq), rank(fnd6_mkvaltq)), subindustry), 9)",期权漂移率因子经市值中性化，聚焦于技术面与基本面背离引起的异常波动。
"ts_decay_linear(group_neutralize(residualize(rank(fnd6_newa1v1300_dcom / (fnd6_mkvaltq + 0.001)), rank(fnd6_mkvaltq)), subindustry), 16)",延迟佣金占比去市值化处理，利用渠道端财务指标捕捉被忽视的增长信号。
"ts_decay_linear(group_neutralize(residualize(rank(mdl177_2_globaldevnorthamerica_v502_fc_fwdroe + mdl77_2gdna_cashc), rank(fnd6_mkvaltq)), subindustry), 10)",盈利与现金流复合模型在剔除市值Beta后的综合评价，追求高质量成长的纯净暴露。
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_10 / (implied_volatility_mean_120 + 0.001)), subindustry), 10)",短端Call隐含波动率相对于长端中枢的溢价，捕捉短期波动率爆发的动量信号。
"ts_decay_linear(group_neutralize(rank(ts_delta(implied_volatility_mean_skew_10, 5)), subindustry), 10)",短期波动率偏斜（Skew）的变动率，识别期权市场对尾部风险预期的快速修正。
"ts_decay_linear(group_neutralize(-rank(pcr_vol_90 / (pcr_vol_720 + 0.001)), subindustry), 10)",中期成交量PCR相对于长期均值的偏离，利用反向指标逻辑捕捉悲观情绪过热后的反转。
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_10 / (historical_volatility_30 + 0.001)), subindustry), 10)",隐含波动率与历史波动率的偏离度，衡量市场对未来价格波动的超前定价程度。
"ts_decay_linear(group_neutralize(rank(put_breakeven_270 / (call_breakeven_360 + 0.001)), subindustry), 10)",长期认沽与认购盈亏平衡点的比例，反映机构投资者对长期价格运行区间的预期位移。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_skew_10 / (implied_volatility_mean_skew_270 + 0.001)), subindustry), 10)",短期偏斜与长期偏斜的期限结构，用于确认当前价格趋势的期权定价支撑力。
"ts_decay_linear(group_neutralize(-rank(pcr_oi_270) * rank(implied_volatility_mean_skew_10), subindustry), 10)",持仓量PCR与短期偏斜的复合指标，识别深跌预期下的市场筑底动量。
"ts_decay_linear(group_neutralize(rank(ts_stddev(implied_volatility_call_10, 20) / (implied_volatility_mean_120 + 0.001)), subindustry), 10)",隐含波动率的波动性（Vol of Vol），衡量期权市场情绪的不确定性加速。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_skew_270) / (rank(pcr_vol_720) + 0.001), subindustry), 10)",长周期风险偏斜与长周期成交压力的对比，筛选具有长期基本面支撑的个股。
"ts_decay_linear(group_neutralize(rank(ts_delta(put_breakeven_270, 10)), subindustry), 10)",认沽期权盈亏平衡点的趋势变动，作为下行风险确认的领先指标。
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_10) - rank(historical_volatility_30), subindustry), 10)",IV-HV价差的秩差，捕捉由于非对称信息导致的权利金异常上涨。
"ts_decay_linear(group_neutralize(-rank(pcr_vol_90 / (pcr_oi_270 + 0.001)), subindustry), 10)",成交量PCR相对于持仓量PCR的活跃度增强，反映短期投机情绪的爆发。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_skew_10) * rank(historical_volatility_30), subindustry), 10)",高历史波动环境下的偏斜因子加强，识别剧烈波动中的方向性确认信号。
"ts_decay_linear(group_neutralize(rank(ts_rank(implied_volatility_call_10, 252)), subindustry), 10)",短期IV在过去一年中的相对位置，识别波动率回归均值前的极值机会。
"ts_decay_linear(group_neutralize(-rank(call_breakeven_360 / (historical_volatility_30 + 0.001)), subindustry), 10)",认购盈亏平衡点相对于波动率的紧缩度，寻找被低估的看涨空间。
"ts_decay_linear(group_neutralize(rank(pcr_vol_720 / (implied_volatility_mean_120 + 0.001)), subindustry), 10)",利用长期波动率中枢对长期成交PCR进行标准化，剥离系统性波动后的纯净情绪特征。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_skew_10 - implied_volatility_mean_skew_270), subindustry), 10)",偏斜因子的期限利差，捕捉期权市场对近期事件风险的异常定价。
"ts_decay_linear(group_neutralize(rank(ts_delta(pcr_vol_90, 5) / (ts_delta(pcr_vol_720, 5) + 0.001)), subindustry), 10)",PCR变动率的二阶动量，捕捉悲观/乐观情绪转换的拐点。
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_10) * rank(put_breakeven_270), subindustry), 10)",高IV与深远盈亏平衡点的耦合，筛选出具有强烈趋势预期的标的。
"ts_decay_linear(group_neutralize(rank(ts_stddev(pcr_oi_270, 10) / (pcr_vol_90 + 0.001)), subindustry), 10)",持仓分布的不稳定性与成交活跃度的比值，寻找筹码结构发生剧烈变动的个股。
