id,expression,sharpe,fitness,turnover,returns,drawdown,margin,sc,universe,decay,neutralization,truncation,region,date_submitted
xAPP08lb,"{'code': '-1 * (ts_decay_linear(group_neutralize(rank(mdl177_pricemomentumfactor_visiratio_alt), subindustry), 60))', 'description': None, 'operatorCount': 4}",1.37,1.07,0.1066,0.0762,0.0709,0.00143,0.6135,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-05-02
2raQzjV8,"{'code': 'ts_decay_linear(group_neutralize(rank(fnd6_cptmfmq_saleq / assets) * rank(-ts_delta(close, 5)), subindustry), 45)', 'description': None, 'operatorCount': 8}",1.52,1.37,0.0785,0.1009,0.0673,0.002571,0.5934,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-05-01
78a0bVRZ,"{'code': 'ts_decay_linear(group_neutralize(rank(anl4_cfo_flag) * rank(-ts_delta(close, 5)), subindustry), 30)', 'description': None, 'operatorCount': 7}",1.57,1.48,0.1122,0.1116,0.063,0.001991,0.485,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-05-01
d5EeNbYv,"{'code': 'ts_decay_linear(group_neutralize(rank(max_customized_eps_guidance) * rank(min_adjusted_net_income_guidance), subindustry), 1)', 'description': None, 'operatorCount': 5}",1.53,1.14,0.0106,0.0695,0.039,0.013162,0.4523,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-30
GrMERW6x,"{'code': 'ts_decay_linear(group_neutralize(rank(fnd6_acdo), subindustry), 60)', 'description': None, 'operatorCount': 3}",1.39,1.33,0.0128,0.1142,0.087,0.017905,0.1626,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-30
P0XAWqrJ,"{'code': 'group_neutralize(ts_zscore(anl4_afv4_dts_spe, 252), subindustry)', 'description': None, 'operatorCount': 2}",1.48,1.12,0.1201,0.0711,0.0444,0.001184,0.0806,TOP1000,0,SUBINDUSTRY,0.08,USA,2026-04-24
rKr8EX5j,"{'code': 'ts_decay_linear(group_neutralize(sign(anl4_totassets_flag)*log(abs(anl4_totassets_flag)+1), subindustry), 18)', 'description': None, 'operatorCount': 7}",1.28,1.27,0.0287,0.1225,0.1208,0.008532,0.4065,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-23
Jj5N56Ox,"{'code': 'yield = rank(est_eps / close);\r\nprice_stable = rank(-ts_delta(close, 5));\r\nvol_check = rank(-ts_rank(volume, 20));\r\n\r\n// 使用 power 算子拉开差距，给“最强信号”加戏\r\ncombined = power(yield, 2) + power(price_stable, 2) + power(vol_check, 2);\r\n\r\n// 此时 Decay 建议保持 6，因为信号变得更平滑了\r\ngroup_neutralize(rank(combined), subindustry)', 'description': None, 'operatorCount': 15}",1.7,1.01,0.3157,0.1117,0.0513,0.000708,0.6128,TOP3000,6,SUBINDUSTRY,0.08,USA,2026-04-20
1YnXmVQQ,"{'code': '// 使用预估EPS与股价的比率，寻找被低估的高预期股票\r\ngroup_rank(ts_rank(est_eps / close, 60), industry)', 'description': None, 'operatorCount': 3}",1.6,1.09,0.1423,0.0665,0.0356,0.000935,0.5165,TOP3000,6,SUBINDUSTRY,0.08,USA,2026-04-20
YPW5dgrW,"{'code': '// 逻辑：Z-Score 极值检测 + 波动率归一化\r\ngroup_zscore(rank(ts_rank(operating_income, 252)) * rank(-ts_delta(close, 15)), subindustry) / ts_std_dev(returns, 20)', 'description': None, 'operatorCount': 9}",1.75,1.22,0.1912,0.0928,0.051,0.000971,0.5778,TOP3000,3,SUBINDUSTRY,0.08,USA,2026-04-19
9qAV0W21,"{'code': 'rank(ts_rank(operating_income, 252)) * group_rank(-ts_delta(close, 12) / ts_std_dev(returns, 20), subindustry) * rank(adv20)', 'description': None, 'operatorCount': 10}",1.56,1.06,0.1912,0.0878,0.0475,0.000918,0.5969,TOP3000,3,SUBINDUSTRY,0.08,USA,2026-04-19
XgYWrp1X,"{'code': '// 逻辑：基本面排名的权重 * 价格反转的权重\r\nrank(ts_rank(operating_income, 252)) * rank(-ts_delta(close, 8))', 'description': None, 'operatorCount': 6}",1.89,1.17,0.2419,0.0922,0.0405,0.000762,0.9754,TOP3000,3,SUBINDUSTRY,0.08,USA,2026-04-19
gJoQ672l,"{'code': 'ts_decay_linear(ts_rank(operating_income, 252) * rank(-ts_delta(close, 8)), 5)', 'description': None, 'operatorCount': 6}",1.68,1.1,0.1883,0.0801,0.0434,0.000851,0.6518,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-19
WjWP13pQ,"{'code': 'ts_rank(operating_income, 252) * rank(-ts_delta(close, 3))', 'description': None, 'operatorCount': 5}",2.32,1.05,0.5527,0.1133,0.0445,0.00041,0.5645,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-19
blWjmb6Z,"{'code': 'ts_decay_linear(group_neutralize(ts_rank(-ts_delta(close, 3), 10), subindustry), 20)', 'description': None, 'operatorCount': 5}",1.77,1.01,0.3727,0.1215,0.0821,0.000652,0.6563,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-19
58qvePjo,"{'code': 'ts_decay_linear(\r\n    rank(vwap / close) * rank(volume / ts_mean(volume, 60)) * rank(ts_delay(close, 3) / close), \r\n    20\r\n)', 'description': None, 'operatorCount': 11}",1.68,1.3,0.2223,0.1336,0.0589,0.001202,0.6942,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-17
zqJW0bZK,"{'code': 'ts_decay_linear(\r\n    rank(vwap / close) * rank(volume / ts_mean(volume, 60)), \r\n    18\r\n)', 'description': None, 'operatorCount': 7}",1.97,1.3,0.2414,0.1048,0.0605,0.000869,0.5764,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-17
om939WG2,"{'code': 'ts_decay_linear(rank(rank(open / close) * rank(volume / ts_mean(volume, 20))), 5)\r\n', 'description': None, 'operatorCount': 8}",2.4,1.31,0.543,0.1614,0.0534,0.000594,0.8667,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-16
P0XwllKW,"{'code': 'ts_decay_linear(rank(rank(vwap / close) * rank(volume / ts_mean(volume, 20))), 5)\r\n', 'description': None, 'operatorCount': 8}",2.13,1.03,0.5457,0.1285,0.0769,0.000471,0.6794,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-16
P0XwdneJ,"{'code': '-1 * ts_decay_linear(rank(equity / assets), 12)', 'description': None, 'operatorCount': 4}",1.56,1.29,0.016,0.0855,0.0591,0.010688,0.0273,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-15
om93p6kE,"{'code': 'ts_decay_linear(rank( rank(ts_mean(close, 5) / close) * rank(volume / ts_mean(volume, 20)) ), 5)', 'description': None, 'operatorCount': 9}",1.95,1.17,0.4404,0.1594,0.099,0.000724,0.0,TOP3000,0,SUBINDUSTRY,0.08,USA,2026-04-15
